Nom_archive,Premier_auteur,Date de publication,Titre_unique,Sans_référencement,Present_in_HAL
HAL,Egerer Sabine,2025,Forestation in CMIP6: wide model spread in tree cover and land carbon uptake,True,A référencer
HAL,Beaudor Maureen,2025,Evaluating present-day and future impacts of agricultural ammonia emissions on atmospheric chemistry and climate,True,A référencer
HAL,Beaudor Maureen,2025,Global ammonia emissions from CAMEO throughout the century for 3 scenarios (2000-2100),True,A référencer
HAL,Pan Naiqing,2025,Climate change rivals fertilizer use in driving soil nitrous oxide emissions in the northern high latitudes: Insights from terrestrial biosphere models,True,A référencer
HAL,Abramowitz Gab,2024,On the predictability of turbulent fluxes from land: PLUMBER2 MIP experimental description and preliminary results,True,A référencer
HAL,Amali Amali,2024,Biogeochemical versus biogeophysical temperature effects of historical land-use change in CMIP6,True,A référencer
HAL,Sanchez Jaime A. Riano,2024,Projected changes in land carbon store over the 21st century: what contributions from land use change and atmospheric nitrogen deposition?,True,A référencer
HAL,Sun Qing,2024,The Modeled Seasonal Cycles of Surface N<sub>2</sub>O Fluxes and Atmospheric N<sub>2</sub>O,True,A référencer
HAL,Li Linchao,2024,Enhanced nitrous oxide emission factors due to climate change increase the mitigation challenge in the agricultural sector,True,A référencer
HAL,Gong Cheng,2024,Global net climate effects of anthropogenic reactive nitrogen,True,A référencer
HAL,Lee Minjin,2024,Uneven consequences of global climate mitigation pathways on regional water quality in the 21st century,True,A référencer
HAL,Tian Hanqin,2024,Global nitrous oxide budget (1980-2020),True,A référencer
ORCID,Rémi Gaillard,2025.0,IPSL-Perm-LandN: improving the IPSL Earth System Model to represent permafrost carbon-nitrogen interactions,A déposer sur HAL,False
ORCID,Cheng Gong,2025.0,"Supplementary material to ""Uncertainties in fertilizer-induced emissions of soil nitrogen oxide and the associated impacts on ground-level ozone and methane""",A déposer sur HAL,False
ORCID,Cheng Gong,2025.0,Uncertainties in fertilizer-induced emissions of soil nitrogen oxide and the associated impacts on ground-level ozone and methane,A déposer sur HAL,False
ORCID,Cheng Gong,2025.0,Global net cooling effects of anthropogenic reactive nitrogen: the unneglectable roles of short-lived nitrogen components,A déposer sur HAL,False
ORCID,Rémi Gaillard,2025.0,Implications of permafrost carbon cycle feedbacks for TCRE: evidence from Earth system modeling,A déposer sur HAL,False
ORCID,Julien Alléon,2025.0,First steps towards modelling the intra-canopy microclimate in the ORCHIDEE Land Surface Model,A déposer sur HAL,False
ORCID,Camille Abadie,2025.0,Revisiting vegetation carbon and water flux representation during drought events in the ORCHIDEE land surface model,A déposer sur HAL,False
ORCID,Jaime A. Riano Sanchez,2024.0,Projected changes in land carbon store over the 21st century: what contributions from land use change and atmospheric nitrogen deposition?,A déposer sur HAL,False
ORCID,Maureen Beaudor,2024.0,"Supplementary material to ""Evaluating present-day and future impacts of agricultural ammonia emissions on atmospheric chemistry and climate""",A déposer sur HAL,False
ORCID,Maureen Beaudor,2024.0,Future trends of global agricultural emissions of ammonia in a changing climate,A déposer sur HAL,False
