Nom_archive,Premier_auteur,Date de publication,Titre_unique,Sans_référencement,Present_in_HAL
HAL,Pouységur Renaud,2025,Estimation de la biomasse aérienne et reconstitution des itinéraires sylvicoles,True,A référencer
HAL,Besic Nikola,2025,Bayesian model averaging of AI models for the high resolution mapping of the forest canopy height,True,A référencer
HAL,Su Yang,2025,Canopy height and biomass distribution across the forests of Iberian Peninsula,True,A référencer
HAL,Besic Nikola,2024,Calibration of a distributed SWE model using MODIS snow cover maps and in situ measurements,True,A référencer
HAL,Figueras I Ventura Jordi,2024,Analysis of the lightning production of convective cells,True,A référencer
HAL,Figueras I Ventura Jordi,2024,Polarimetric radar characteristics of lightning initiation and propagating channels,True,A référencer
HAL,Gehring Josué,2024,Radar and ground-level measurements of precipitation collected by the École Polytechnique Fédérale de Lausanne during the International Collaborative Experiments for PyeongChang 2018 Olympic and Paralympic winter games,True,A référencer
HAL,Sunjerga Antonio,2024,LMA observations of upward lightning flashes at the Säntis Tower initiated by nearby lightning activity,True,A référencer
HAL,Pineda Nicolau,2024,Meteorological Aspects of Self‐Initiated Upward Lightning at the Säntis Tower (Switzerland),True,A référencer
HAL,Gehring Josué,2024,Microphysics and dynamics of snowfall associated with a warm conveyor belt over Korea,True,A référencer
HAL,Gerber Franziska,2024,Spatial variability in snow precipitation and accumulation in COSMO–WRF simulations and radar estimations over complex terrain,True,A référencer
HAL,Trefalt Simona,2024,A severe hail storm in complex topography in Switzerland - Observations and processes,True,A référencer
HAL,Nerini Daniele,2024,A non-stationary stochastic ensemble generator for radar rainfall fields based on the short-space Fourier transform,True,A référencer
HAL,Besic Nikola,2024,Unraveling hydrometeor mixtures in polarimetric radar measurements,True,A référencer
HAL,Besic Nikola,2024,Hydrometeor classification through statistical clustering of polarimetric radar measurements: a semi-supervised approach,True,A référencer
ORCID,Martin Schwartz,2025.0,Retrieving yearly forest growth from satellite data: A deep learning based approach,A déposer sur HAL,False
ORCID,Yang Su,2025.0,"A fused canopy height map of Italy (2004–2024) from spaceborne and airborne LiDAR, and Landsat via deep learning and Bayesian averaging",A déposer sur HAL,False
ORCID,Yang Su,2025.0,"Supplementary material to ""A fused canopy height map of Italy (2004–2024) from spaceborne and airborne LiDAR, and Landsat via deep learning and Bayesian averaging""",A déposer sur HAL,False
ORCID,Henri Cuny,2025.0,"Supplementary material to ""Wood density variation in European forest species: drivers and implications for multiscale biomass and carbon assessment in France""",A déposer sur HAL,False
ORCID,Henri Cuny,2025.0,Wood density variation in European forest species: drivers and implications for multiscale biomass and carbon assessment in France,A déposer sur HAL,False
ORCID,Nikola Besic,2025.0,Bayesian Averaging of Lidar-based AI Models for High-Resolution Canopy Height Mapping: Application in Post-Stratification of a Large-Scale Forest Inventory,A déposer sur HAL,False
ORCID,Nikola Besic,2025.0,Bayesian model averaging of AI models for the high resolution mapping of the forest canopy height,A déposer sur HAL,False
ORCID,Gabriel Destouet,2025.0,Time-scale turbulent transport extraction and high time resolution flux estimation using wavelet analysis,A déposer sur HAL,False
ORCID,Nikola Besic,2024.0,"Remote sensing-based high-resolution mapping of the forest canopy height: some models are useful, but might they be even more if combined?",A déposer sur HAL,False
ORCID,Nikola Besic,2024.0,Using Structural Class Pairing to Address the Spatial Mismatch Between GEDI Measurements and NFI Plots,A déposer sur HAL,False
