Nom_archive,Premier_auteur,Date de publication,Titre_unique,Sans_référencement,Present_in_HAL
HAL,Besnard Simon,2025.0,Global covariation of forest age transitions with the net carbon balance,True,A référencer
HAL,Ritter Francois,2025.0,Alarming decline in the carbon sink of European forests driven by disturbances,True,A référencer
HAL,Son Rackhun,2024.0,Integration of a Deep‐Learning‐Based Fire Model Into a Global Land Surface Model,True,A référencer
HAL,Migliavacca Mirco,2024.0,Semiempirical modeling of abiotic and biotic factors controlling ecosystem respiration across eddy covariance sites,True,A référencer
HAL,Yang Hui,2024.0,Global patterns of tree wood density,True,A référencer
HAL,Jenny Jean-Philippe,2024.0,"Human societies began to play a significant role in global sediment transfer 4,000 years ago",True,A référencer
HAL,Dinh Thi Lan Anh,2024.0,Benchmarking simulations of forest regrowth across Europe,True,A référencer
HAL,Tao Feng,2024.0,Reply to: Model uncertainty obscures major driver of soil carbon,True,A référencer
ORCID,Claire Robin,2025.0,Analyzing Spatio-Temporal Machine Learning Models through Input Perturbation,A déposer sur HAL,False
ORCID,Thi Lan Anh Dinh,2025.0,Benchmarking simulations of forest regrowth across Europe,A déposer sur HAL,False
ORCID,Markus Reichstein,2025.0,Climate Extremes and Systemic Risks for Sustainable Development Pathways &#8211; Artificial Intelligence for Risk Mitigation?,A déposer sur HAL,False
ORCID,Jeran Poehls,2025.0,Downscaling Soil Moisture with Simple Machine Learning Ensembles,A déposer sur HAL,False
ORCID,Lazaro Alonso,2025.0,Hybrid Modelling: Bridging Neural Networks and Physics-Based Approaches in Terrestrial Biogeochemical Ecosystems,A déposer sur HAL,False
ORCID,Reda ElGhawi,2025.0,Hybrid-Modeling of Land-Atmosphere Fluxes Using Integrated Machine Learning in the ICON-ESM Modeling Framework,A déposer sur HAL,False
ORCID,Simon Besnard,2025.0,The covariation of forest age shifts and net carbon balance over the period 2010 to 202,A déposer sur HAL,False
ORCID,Hui Yang,2025.0,Transient and lagged effects of vegetation dynamics&#160;on the global CO2 growth rate,A déposer sur HAL,False
ORCID,Hoontaek Lee,2024.0,Spatial attribution of temporal variability in global land-atmosphere CO2 exchange using a model-data integration framework,A déposer sur HAL,False
ORCID,Siyuan Wang,2024.0,Understanding Disturbance Regimes From Patterns in Modeled Forest Biomass,A déposer sur HAL,False
