Nom_archive,Premier_auteur,Date de publication,Titre_unique,Sans_référencement,Present_in_HAL
HAL,Kuzmina Daria,2025.0,Experimental assessment of tundra fire impact on element export and storage in permafrost peatlands,True,A référencer
HAL,Hirst Catherine,2025.0,"Characterisation of Fe-bearing particles and colloids in the Lena River basin, NE Russia",True,A référencer
HAL,Krickov Ivan,2025.0,Environmental controllers for carbon emission and concentration patterns in Siberian rivers during different seasons,True,A référencer
HAL,Chupakov Artem,2025.0,Seasonal and spatial pattern of dissolved organic matter biodegradation and photodegradation in boreal humic waters,True,A référencer
HAL,Krickov Ivan,2025.0,"Export fluxes of dissolved, colloidal and particulate organic carbon, major and trace elements from the Ob River and its tributaries across seasons",True,A référencer
HAL,Vorobyev Sergey,2025.0,The Great Vasyugan Mire of western Siberia: Hydrochemistry and greenhouse gas dynamics of peatland pools of the world’s largest mire,True,A référencer
HAL,Raudina Tatiana,2025.0,"PHOTOCHEMICAL TRANSFORMATION OF DISSOLVED ORGANIC MATTER AND BEHAVIOR OF METALS IN THE WATERS OF THE SOUTHERN TAIGA BOG COMPLEX, WESTERN SIBERIA",True,A référencer
HAL,Vorobyev Sergey N,2025.0,"A snap-shot assessment of carbon emission and export in a pristine river draining permafrost peatlands (Taz River, Western Siberia)",True,A référencer
HAL,Sonke Jeroen,2025.0,Mercury Stable Isotope Composition of Lichens and Mosses from Northern Eurasia Reveals Hg Deposition Pathways and Sources,True,A référencer
HAL,Lim Artem,2025.0,"Organic carbon, and major and trace elements reside in labile low-molecular form in the ground ice of permafrost peatlands: a case study of colloids in peat ice of Western Siberia",True,A référencer
HAL,Kirpotin Sergey,2025.0,Great Vasyugan Mire: How the world’s largest peatland helps addressing the world’s largest problems,True,A référencer
HAL,Machałowski Tomasz,2025.0,Spider Chitin. The biomimetic potential and applications of Caribena versicolor tubular chitin,True,A référencer
HAL,Manasypov Rinat,2025.0,"Biogeochemistry of macrophytes, sediments and porewaters in thermokarst lakes of permafrost peatlands, western Siberia",True,A référencer
HAL,Lyubas Artem A,2025.0,"Iron, Phosphorus and Trace Elements in Mussels’ Shells, Water, and Bottom Sediments from the Severnaya Dvina and the Onega River Basins (Northwestern Russia)",True,A référencer
HAL,Fortuna Lorenzo,2024.0,Influence of secondary metabolites on surface chemistry and metal adsorption of a devitalized lichen biomonitor,True,A référencer
HAL,Lim Artem,2024.0,"Dispersed ground ice of permafrost peatlands: Potential unaccounted carbon, nutrient and metal sources",True,A référencer
HAL,Shirokova Liudmila,2024.0,"Lichen, moss and peat control of C, nutrient and trace metal regime in lakes of permafrost peatlands",True,A référencer
HAL,Lim Artem,2024.0,"Sizable pool of labile organic carbon in peat and mineral soils of permafrost peatlands, western Siberia",True,A référencer
HAL,Pokrovsky Oleg,2024.0,"Carbon, nutrient and metal controls on phytoplankton concentration and biodiversity in thermokarst lakes of latitudinal gradient from isolated to continuous permafrost",True,A référencer
HAL,Vorobyev Sergey,2024.0,"Biogeochemistry of dissolved carbon, major, and trace elements during spring flood periods on the Ob R iver",True,A référencer
HAL,Loiko Sergey,2024.0,Microtopography Controls of Carbon and Related Elements Distribution in the West Siberian Frozen Bogs,True,A référencer
HAL,Pokrovsky Oleg S,2024.0,Elemental composition of grass phytoliths: Environmental control and effect on dissolution,True,A référencer
HAL,Aksenov Andrey,2024.0,Bacterial Number and Genetic Diversity in a Permafrost Peatland (Western Siberia): Testing a Link with Organic Matter Quality and Elementary Composition of a Peat Soil Profile,True,A référencer
HAL,Ilina Svetlana,2024.0,"Stable (Cu, Mg) and radiogenic (Sr, Nd) isotope fractionation in colloids of boreal organic-rich waters",True,A référencer
HAL,Mandal Sanjay K.,2024.0,State of rare earth elements in the sediment and their bioaccumulation by mangroves: a case study in pristine islands of Indian Sundarban,True,A référencer
HAL,Kuzmina Daria,2025.0,Macro- and micronutrient release from ash and litter in permafrost-affected forest,False,A référencer
HAL,Derbilova Daria,2025.0,"Anthropic dark soils horizons in western Siberian taiga: origin, soil chemistry and sustainability of organic matter",False,A référencer
