Nom_archive,Premier_auteur,Date de publication,Titre_unique,Sans_référencement,Present_in_HAL
HAL,Bordenave Pierre,2025,ECOLOGGING : réseau de Stations Instrumentées Évolutives Modulables et Déplaçable en IoT,True,A référencer
HAL,Raynaud-Schell Brune,2025,Quantifying groundwater recharge in karstic mediterranean environments controlling surface water and energy transfers,True,A référencer
HAL,Raynaud--Schell Brune,2025,Modélisation des transferts d'énergie et d'eau à l'interface Surface-Atmosphère dans les forêts méditerranéenne en zone karstique,True,A référencer
HAL,Raynaud--Schell Brune,2025,Modelling surface water and energy transfer in karstic mediterranean forests,True,A référencer
HAL,Olioso Albert,2025,Monitoring energy and mass transfers during the Alpilles-ReSeDA experiment,True,A référencer
HAL,Olioso Albert,2025,Monitoring Evapotranspiration with Remote Sensing Data and Ground Data Using Ensemble Model Averaging,True,A référencer
HAL,Bsaibes Aline,2024,Albedo and LAI estimates from FORMOSAT-2 data for crop monitoring,True,A référencer
HAL,Marloie Olivier,2024,Estimation de rayonnement d’origine solaire reçus à la surface terrestre grâce au modèle 6S de transfert radiatif dans l’atmosphère et des mesures d’un photomètre solaire,True,A référencer
HAL,Martin-StPaul Nicolas,2024,La plateforme expérimentale de Font-Blanche Un site dédié au suivi à long terme du bilan de carbone et d’eau d’une forêt mixte méditerranéenne de pin d’Alep et de chêne vert,True,A référencer
HAL,Marloie Olivier,2024,Métrologie des rayonnements naturels d’origine solaire et atmosphérique,True,A référencer
HAL,Marloie Olivier,2024,Instruction d’étalonnage d’un thermomètre à résistance,True,A référencer
