Nom_archive,Premier_auteur,Date de publication,Titre_unique,Sans_référencement,Present_in_HAL
HAL,Farhani Nesrine,2025.0,Evapotranspiration estimates in Sahel regions using an ensemble contextual model: medium &amp; high spatial resolution data comparison,True,A référencer
HAL,Agbohessou Yélognissé,2025.0,"Using drones to upscale yield and land-equivalent-ratio from plot to stand in an agro-silvo-pastoral system: the “Faidherbia-Flux” collaborative observatory (groundnut basin, Senegal)",True,A référencer
HAL,Virginio Filho Elias de Melo,2025.0,Innovations and policies based on 20 years of findings from a coffee agroforestry trial,True,A référencer
HAL,Farhani Nesrine,2025.0,Spatially remotely sensed evapotranspiration estimates in Sahel regions using an ensemble contextual model : structural uncertainty estimation and reduction,True,A référencer
HAL,Lassabatere Laurent,2025.0,Manual versus Automated Beerkan run for characterizing the hydraulic properties of sandy soil in Senegal's Sahel,True,A référencer
HAL,Talla Saidou,2025.0,Evaluating stemflow infiltration through time-lapse ground-penetrating radar surveys on a Faidherbia albida tree in Senegal's Sahel,True,A référencer
HAL,Filho Elias de Melo Virginio,2024.0,"Aportes a la investigación, fortalecimiento de capacidades y formulación de políticas para el sector cafetalero en 20 años de ensayos de sistemas agroforestales con café",True,A référencer
HAL,Roupsard Olivier,2024.0,Monitoreo de servicios ecosistémicos en un observatorio de cafetales agroforestales. Recomendaciones para el sector cafetalero,True,A référencer
HAL,Groenendijk M.,2024.0,Seasonal variation of photosynthetic model parameters and leaf area index from global Fluxnet eddy covariance data,True,A référencer
HAL,Migliavacca Mirco,2024.0,Semiempirical modeling of abiotic and biotic factors controlling ecosystem respiration across eddy covariance sites,True,A référencer
HAL,Ben Ai̇ssa İmed,2024.0,Is it true that date-palm consumes a lot of water?,True,A référencer
HAL,Guzinski Radoslaw,2024.0,"Improving field-scale crop actual evapotranspiration monitoring with Sentinel-3, Sentinel-2, and Landsat data fusion",True,A référencer
HAL,Musavi Talie,2024.0,Stand age and species richness dampen interannual variation of ecosystem-level photosynthetic capacity,True,A référencer
HAL,Agbohessou Yélognissè,2024.0,Modelling CO2 and N2O emissions from a tropical semi-arid parkland cultivated with groundnut and millet,True,A référencer
HAL,Faye Waly,2024.0,Spatio-temporal analysis of soil surface hydraulic properties in a semi-arid agroforestry system of the Senegalese groundnut basin,True,A référencer
HAL,Sow Sidy,2024.0,Calibrating the STICS soil-crop model to explore the impact of agroforestry parklands on millet growth,True,A référencer
HAL,Agbohessou Yélognissè,2025.0,Proxydetection of the impact distance of trees on crops: An indicator of the Land Equivalent Ratio?,False,A référencer
