Nom_archive,Premier_auteur,Date de publication,Titre_unique,Sans_référencement,Present_in_HAL
HAL,Josserand Alice,2025.0,A new framework for agroecological energy assessment: demonstration on 34 agroecosystems Methodological advances in multicriteria assessment: from new frameworks to implementation,True,A référencer
HAL,Rodier Rose,2025.0,"Interdependencies among hydro-saline dynamics, economic activities, ecological processes, and biodiversity in a deltaic social-ecological system: insights from the Rhône delta (southern France)",True,A référencer
HAL,Tibi Anaïs,2025.0,Ecosystem services provided by agricultural areas,True,A référencer
HAL,Dedieu Benoit,2025.0,The CAP and the Agro-Ecological Transition of European Agriculture,True,A référencer
HAL,Audouin Elise,2025.0,Participatory methodology for designing an agroecological transition at local level,True,A référencer
HAL,Bergez Jacques-Eric,2025.0,TATA-BOX at a Glance,True,A référencer
HAL,Bamiere Laure,2025.0,Storing carbon in French agricultural soils: potential and cost of additionnal storage,True,A référencer
HAL,Delattre Hadrien,2025.0,Simulating Biomass Chains for Agricultural and Bioeconomy Transitions: the agent-based model Biochains,True,A référencer
HAL,Duru Michel,2025.0,Agriculture du futur : la biodiversité avant les technologies !,True,A référencer
HAL,Duru Michel,2025.0,"Une seule santé, pour refonder véritablement l’agriculture et l’alimentation",True,A référencer
HAL,Plumecocq Gaël,2025.0,Caractérisation socio-économique des formes d’agriculture durable,True,A référencer
HAL,Galano Eva,2025.0,Landscape unit: A framework for discussing the representativeness of cropping systems,True,A référencer
HAL,Dardonville Manon,2025.0,MAELIA: a multi-agent platform for integrated modelling and evaluation of agricultural and bioeconomy systems,True,A référencer
HAL,Josserand Alice,2025.0,How to account ecosystem services into energy assessment of agroecosystems and bioeconomy?,True,A référencer
HAL,Duru Michel,2025.0,Why and how to shift ruminant livestock systems? A field-to-fork analysis from a land use perspective,True,A référencer
HAL,Montastruc Ludovic,2024.0,Méthodologie d’aide à la décision multi-acteur et multi-échelles pour les systèmes Water-Food-Energy,True,A référencer
HAL,Therond Olivier,2024.0,Socio-economic Characterisation of Agriculture Models,True,A référencer
HAL,Saint-Bois Amaya,2024.0,Multi-actor approach to manage the water-energy-food nexus at territory scale,True,A référencer
HAL,Duru Michel,2024.0,One Health (Une seule santé) pour concevoir des alternatives crédibles aux défaillances des systèmes alimentaires,True,A référencer
HAL,Debaeke Philippe,2024.0,Availability and integration of agro-environmental data : the French case,True,A référencer
HAL,Tromp Emma,2024.0,Modélisation des effets du paysage sur les pollinisateurs en milieu agricole,True,A référencer
HAL,Dardonville Manon,2024.0,Assessment of ecosystem services and natural capital dynamics in agroecosystems,True,A référencer
HAL,Stell Eric,2024.0,From a local descriptive to a generic predictive model of cereal aphid regulation by predators,True,A référencer
HAL,van Frank Gaëlle,2024.0,Spatially explicit modelling of the natural regulation of green aphids on a andscape scale,True,A référencer
HAL,Moraine Marc,2024.0,Diagnostic des enjeux et conception de systèmes intégrant culture et élevage sur le bassin versant de l'Aveyron,True,A référencer
HAL,Dardonville Manon,2024.0,Sustainability and resilience against climate change provided by a territorial crop-livestock system,True,A référencer
HAL,Gerbel Sophie,2025.0,"Quantitative assessment of bioeconomy systems' sustainability: strengths, limits and research agenda",False,A référencer
