Nom_archive,Premier_auteur,Date de publication,Titre_unique,Sans_référencement,Present_in_HAL
HAL,Koptelov Maksim,2025,AgriCode: Automated coding for qualitative research and its application to the valorization of agricultural residues,True,A référencer
HAL,Dervaux Stéphane,2025,Les entrées du logiciel @Web : les fichiers CSV,True,A référencer
HAL,Lentschat Martin,2025,Extraction et reconstitution de relation n-Aires issues d'articles scientifiques en domaine expérimental guideées par une Ressource Termino-Ontologique,True,A référencer
HAL,Buche Patrice,2025,A data warehouse that gathers several formalisms to capture data heterogeneity and incompleteness in the field of food microbiological safety,True,A référencer
HAL,Weber Magalie,2025,"PO2/TransformON : une nouvelle ontologie de domaine pour l'intégration des données sur les aliments, les bioproduits et les biodéchets dans une approche circulaire et durable des sytèmes agroalimentaires",True,A référencer
HAL,Buche Patrice,2025,Managing Incompleteness and Validating the Content of Nutritional Food Sources using FoodOn as Pivot Ontology,True,A référencer
HAL,Weber Magalie,2025,How the PO2/TransformON ontology enables knowledge integration for sustainable food production?,True,A référencer
HAL,Buche P.,2025,"Knowledge Engineering to enhance the data, knowledge and scientific expertise of agro-ressource transformation platforms: the PowderLib platform (F5.1)",True,A référencer
HAL,Buche Patrice,2025,How knowledge engineering and Artificial intelligence support evolutions in agro-resource processing sectors?,True,A référencer
HAL,Buche Patrice,2025,Conception d'un algorithme robuste pour une mise en correspondance précise de coupes sériées Application en histologie de fibres musculaires,True,A référencer
HAL,Buche Patrice,2025,"Capex, a multicriteria decision support tool for technological recommendations about biomass transformation process based on collective know-how",True,A référencer
HAL,Munch Mélanie,2024,Biocomposites from poly(3-hydroxybutyrate-co-3-hydroxyvalerate) and lignocellulosic fillers: Processes stored in data warehouse structured by an ontology,True,A référencer
HAL,Magnac Thibault,2024,Poly(3-hydroxybutyrate-co-3-hydroxyvalerate) production: Processes stored in data warehouse structured by an ontology,True,A référencer
HAL,Gohier Romane,2024,Vine and wine residues management: practices and new routes of valorisation in the French Languedoc Roussillon region,True,A référencer
HAL,Buche Patrice,2024,Application des principes FAIR à l'aide à la sélection d'un emballage alimentaire : un exemple de démarche Open Science à l'Inra,True,A référencer
HAL,Baudrit C,2024,"DOCaMEx, a web-based educational and decision support tool that offers a new way of structuring knowledge based on concept maps and technological reasoning trees",True,A référencer
HAL,Bisquert Pierre,2024,"Justified collective decision-making in agri-food systems: an approach based on computational social choice, argumentation methods and tools (Supplementary Material)",True,A référencer
HAL,Barbar Reine,2024,Sorghum grains milling: filling the technological gaps for new functional flours and semolina production,True,A référencer
HAL,Suciu Ioana,2024,Modélisation &amp; Simulation des transformations Agro-alimentaires (MESTRAL - AgreenCamp)-Innovations en partage et nouvelles compétences en pédage,True,A référencer
HAL,Dervaux Stéphane,2024,"PO2 Engine, an application programming interface associated with the Process and Observation (PO2) software ecosystem",False,A référencer
