Nom_archive,Premier_auteur,Date de publication,Titre_unique,Sans_référencement,Present_in_HAL
HAL,Baveye Philippe,2025,Lessons from a landmark 1991 article on soil structure: distinct precedence of non-destructive assessment and benefits of fresh perspectives in soil research,True,A référencer
HAL,Chirol Clémentine,2025,Effect of texture and management practices on soil structure dynamics and organic matter deprotection during drying-rewetting cycles,True,A référencer
HAL,Chirol Clémentine,2025,Effect of agricultural management practices on soil structural stability and organic matter deprotection during drying-rewetting cycles,True,A référencer
HAL,Chirol Clémentine,2025,Effect of agricultural practices on soil structural stability and organic matter deprotection during drying-rewetting cycles,True,A référencer
HAL,Chirol Clémentine,2025,Effect of agricultural management practices on soil structural stability and organic matter deprotection during drying-rewetting cycles,True,A référencer
HAL,Chirol Clémentine,2025,Effet des pratiques agricoles sur la stabilité structurale des sols et la déprotection des matières organiques lors de cycles de dessiccation-réhumectation,True,A référencer
HAL,Chalhoub Maha,2025,Assessment of Future Soil Ecosystem Services of a Drained Soil Under Different Climate Change Scenarios,True,A référencer
HAL,Kebalo Lelenda Florent,2024,Effect of bio-based fertilisers on cherry tomato productivity and trace element uptake: A greenhouse study,True,A référencer
HAL,Chenu Claire,2024,The interplay of soil spatial heterogeneity and water in stabilizing and destabilizing soil organic matter,True,A référencer
HAL,Pierre Benoit,2024,Flux et devenir de contaminants organiques après 20 ans d'apports de composts urbains : quels impacts sur la qualité des sols,True,A référencer
HAL,Pot Valérie,2024,Computer simulation of the activity of bacteria in soils: role of soil architecture,True,A référencer
HAL,Pot Valérie,2024,Towards a quantification of the interactions between soil architecture and microbial dynamics under a dynamical soil architecture,True,A référencer
HAL,Garnier Patricia,2024,Soil organic matter mineralization by earthworms : a meta-analysis,True,A référencer
HAL,Kravchenko Alexandra,2025,Soil aggregates as biogeochemical reactors: Not a way forward in the research on soil‐atmosphere exchange of greenhouse gases,True,A référencer
