Nom_archive,Premier_auteur,Date de publication,Titre_unique,Sans_référencement,Present_in_HAL
HAL,Lambert Thibault,2025,The role of nitrogen and iron biogeochemical cycles in the production and export of dissolved organic matter in agricultural headwater catchments,True,A référencer
HAL,Moalic Yann,2025,Genome-wide ribonucleotide detection in Archaea,True,A référencer
HAL,Herbert Anaïs,2025,Malaria-like symptoms associated with a natural Plasmodium reichenowi infection in a chimpanzee,True,A référencer
HAL,Prugnolle Franck,2025,African monkeys are infected by Plasmodium falciparum nonhuman primate-specific strains,True,A référencer
HAL,Prugnolle Franck,2025,"A Fresh Look at the Origin of Plasmodium falciparum, the Most Malignant Malaria Agent",True,A référencer
HAL,Annan Zeinab,2025,"Population genetic structure of Plasmodium falciparum in the two main African vectors, Anopheles gambiae and Anopheles funestus",True,A référencer
HAL,Lekweiry Khadijetou Mint,2025,"Preliminary study of malaria incidence in Nouakchott, Mauritania",True,A référencer
HAL,Ollomo Benjamin,2025,A New Malaria Agent in African Hominids,True,A référencer
HAL,Pumpaibool Tepanata,2025,"Genetic diversity and population structure of Plasmodium falciparum in Thailand, a low transmission country",True,A référencer
HAL,Prugnolle Franck,2025,"African great apes are natural hosts of multiple related malaria species, including Plasmodium falciparum",True,A référencer
HAL,Muller-Feuga Arnaud,2024,Comparison of artificial light photobioreactors and other production systems using Porphyridium cruentum,True,A référencer
HAL,Sutton Mark A.,2024,Development of packages of measures for integrated sustainable nitrogen management,True,A référencer
HAL,Dalgaard Tommy,2024,"UNECE Guidance Document on Integrated Sustainable Nitrogen Management Nitrogen Opportunities for Agriculture, Food &amp; Environment",True,A référencer
HAL,Oenema Oene,2024,Principles of integrated sustainable nitrogen management,True,A référencer
HAL,Durand Patrick,2024,"Les prairies : un atout pour la qualité de l’eau, sous conditions de gestion (une synthèse des principales connaissances)",True,A référencer
HAL,Dupas Rémi,2024,The influence of nitrogen and iron biogeochemical cycles on the production and export of dissolved organic matter in headwater catchments,True,A référencer
HAL,Makanga Boris,2024,Ape malaria transmission and potential for ape-to-human transfers in Africa,True,A référencer
HAL,N′dilimabaka Nadine,2024,Evidence of Lymphocytic Choriomeningitis Virus (LCMV) in Domestic Mice in Gabon: Risk of Emergence of LCMV Encephalitis in Central Africa,True,A référencer
HAL,Otto Thomas,2024,Genomes of all known members of a Plasmodium subgenus reveal paths to virulent human malaria,True,A référencer
HAL,Debaeke Philippe,2024,Availability and integration of agro-environmental data : the French case,True,A référencer
HAL,Fovet Ophelie,2024,Climate change and water quality responses in agricultural catchments with high legacy storages of nutrients,True,A référencer
HAL,Durand Patrick,2024,Model predictions of streamwater nitrate concentrations under agriculture changes: how good are they?,True,A référencer
HAL,Ruiz L.,2024,Effect of nitrate concentration in stream water of agricultural practices in small catchments in Brittany: II. Temporal variations and mixing processes,True,A référencer
ORCID,Patrick Durand,2025.0,athENA and SAMBA: the Global Marine Biodiversity Data Management and Analysis Framework,A déposer sur HAL,False
ORCID,Yann Moalic,2025.0,Genome-wide ribonucleotide detection in Archaea,A déposer sur HAL,False
