Nom_archive,Premier_auteur,Date de publication,Titre_unique,Sans_référencement,Present_in_HAL
HAL,Zhao Junri,2025,Global warming amplifies wildfire health burden and reshapes inequality,True,A référencer
HAL,Liu Wenfeng,2025,Achieving High Crop Yields with Low Nitrogen Emissions in Global Agricultural Input Intensification,True,A référencer
HAL,Wu Chaoyang,2025,Contrasting responses of autumn-leaf senescence to daytime and night-time warming,True,A référencer
HAL,Chen Chi,2025,China and India lead in greening of the world through land-use management,True,A référencer
HAL,Sardans Jordi,2025,Empirical support for the biogeochemical niche hypothesis in forest trees,True,A référencer
HAL,Xi Yi,2025,Representing high-latitude deep carbon in the pre-industrial state of the ORCHIDEE-MICT land surface model (r8704),True,A référencer
HAL,Du Xiaomeng,2025,Record-breaking high temperature amplifies the negative anomaly of tropical net land carbon sinks in the 2023-2024 El Niño,True,A référencer
HAL,Yin Lichang,2025,Spatiotemporal changes and drivers of net greenhouse gas emissions from major cropping systems in China during 1984–2018,True,A référencer
HAL,Bo Yan,2025,Additional surface-water deficit to meet global universal water accessibility by 2030,True,A référencer
HAL,Davoudkhani Mohsen,2025,Global sorghum production dataset for temperate to subtropical regions at subnational scale over 2000-2020,True,A référencer
HAL,Besic Nikola,2025,Bayesian model averaging of AI models for the high resolution mapping of the forest canopy height,True,A référencer
HAL,Bonnemaizon Xavier,2025,Harmonized Annual Averaged Traffic Data at Street Segment Level for European Cities,True,A référencer
HAL,Migliavacca Mirco,2025,Securing the forest carbon sink for the European Union’s climate ambition,True,A référencer
HAL,Besnard Simon,2025,Global covariation of forest age transitions with the net carbon balance,True,A référencer
HAL,Sun Mengyun,2025,The Key Role of Xylem Hydraulic Vulnerability in Influencing Interannual Growth Variability of Earlywood and Latewood Across the Northern Hemisphere,True,A référencer
HAL,Guo Zhixuan,2025,Reconstructed global monthly burned area maps from 1901 to 2020,True,A référencer
HAL,He Lei,2025,Lagged precipitation effects on plant production across terrestrial biomes,True,A référencer
HAL,Huang Luyao,2025,Spatiotemporal patterns of methane fluxes across alpine permafrost region on the Tibetan Plateau,True,A référencer
HAL,Zhu Lei,2025,Spatially varying parameters improve carbon cycle modeling in the Amazon rainforest with ORCHIDEE r8849,True,A référencer
HAL,Chen Baozhang,2025,A meta‐analysis highlights globally widespread potassium limitation in terrestrial ecosystems,True,A référencer
HAL,Li Li,2025,Global trends in water and sediment fluxes of the world’s large rivers,True,A référencer
HAL,Sun Guo-Xin,2025,The co-evolution of life and organics on earth: Expansions of energy harnessing,True,A référencer
HAL,He Yue,2025,Global vegetation biomass production efficiency constrained by models and observations,True,A référencer
HAL,Zhao Chuang,2025,Temperature increase reduces global yields of major crops in four independent estimates,True,A référencer
HAL,Li Junjie,2025,Two decades of improved wetland carbon sequestration in northern mid-to-high latitudes are offset by tropical and southern declines,True,A référencer
HAL,Liu Yuqing,2025,Spatio-temporal dynamics of L-band zeroth-order vegetation scattering albedo from SMAP observations in tropical forests,True,A référencer
HAL,Ma Hongliang,2025,An assessment of L-band surface soil moisture products from SMOS and SMAP in the tropical areas,True,A référencer
HAL,Wang Huan,2025,Seasonal variations in vegetation water content retrieved from microwave remote sensing over Amazon intact forests,True,A référencer
HAL,Peters Wouter,2025,Increased water-use efficiency and reduced CO2 uptake by plants during droughts at a continental scale,True,A référencer
HAL,Liu Shidong,2025,Mapping previously undetected trees reveals overlooked changes in pan-tropical tree cover,True,A référencer
HAL,Pan Li,2025,Strong and Rapid Postfire Recovery of Vegetation Productivity in Australia,True,A référencer
HAL,Li Ji,2025,Temporal variations of δ13C-CH4 in rice paddies dominated by the plant-mediated pathway,True,A référencer
HAL,Rey-Pommier Anthony,2025,Global gridded NO x emissions using TROPOMI observations,True,A référencer
HAL,Kwon Min Jung,2025,Legacy Effects of the Siberian Heatwave of 2020 on Above‐ and Belowground Processes,True,A référencer
HAL,Deng Xi,2025,Building soil to reduce climate change impacts on global crop yield,True,A référencer
HAL,Le Quéré Corinne,2025,Trends in the sources and sinks of carbon dioxide,True,A référencer
HAL,Peaucelle Marc,2025,A new approach to optimal discretization of plant functional types in a process-based ecosystem model with forest management: a case study for temperate conifers,True,A référencer
HAL,Lauerwald Ronny,2025,"Global Inland Water Greenhouse Gas Emissions: Patterns, Trends, and Anthropogenic Drivers",True,A référencer
HAL,Che Ke,2025,Optimizing CO2 emission estimates in Paris through enhanced urban atmospheric monitoring,True,A référencer
HAL,Davoudkhani Mohsen,2025,Potential for expanding sorghum production in Europe in the face of climate change,True,A référencer
HAL,Liu Liyang,2025,Assessing CO<sub>2</sub> Fluxes for European Peatlands in ORCHIDEE‐PEAT With Multiple Plant Functional Types,True,A référencer
HAL,Piao Shilong,2025,Lower land-use emissions responsible for increased net land carbon sink during the slow warming period,True,A référencer
HAL,Li Xiaojun,2025,Large live biomass carbon losses from droughts in the northern temperate ecosystems during 2016-2022,True,A référencer
HAL,Liu Xianfeng,2025,Response of rice quality to climate warming: a meta-analysis,True,A référencer
HAL,Zhao Yuanhong,2025,Air pollution modulates trends and variability of the global methane budget,True,A référencer
HAL,Albarus Ivonne,2025,Unraveling climate targets across the Paris conurbation as a gauge of city ambitions,True,A référencer
HAL,Yun Hanbo,2025,Changes in above- versus belowground biomass distribution in permafrost regions in response to climate warming,True,A référencer
HAL,Yver-Kwok Camille,2025,Estimation of waste water treatment plant methane emissions: methodology and results from a short campaign,True,A référencer
HAL,Liu Gang,2025,Trends in the seasonal amplitude of atmospheric methane,True,A référencer
HAL,Jiang Jiawei,2025,Global Soil Methane Uptake Estimated by Scaling Up Local Measurements,True,A référencer
HAL,Zhang Zongyong,2025,Water-saving strategies across prefectures should target the manufacturing and agriculture sectors in China,True,A référencer
HAL,Su Yang,2025,Canopy height and biomass distribution across the forests of Iberian Peninsula,True,A référencer
HAL,Wang Yijing,2025,Global spatiotemporal optimization of photovoltaic and wind power to achieve the 1.5 &amp;#176;C target,True,A référencer
HAL,Ritter Francois,2025,Alarming decline in the carbon sink of European forests driven by disturbances,True,A référencer
