Nom_archive,Premier_auteur,Date de publication,Titre_unique,Sans_référencement,Present_in_HAL
HAL,Abadie Camille,2025,Evidence for Vegetation Acclimation to Atmospheric Dryness During European Droughts From a Land Surface Model,True,A référencer
HAL,Rivière Agnès,2025,Addressing Socio-Economic and Environmental Challenges Linked to Water Temperatures in the Face of Global Change : Application at the Seine Hydrosystem,True,A référencer
HAL,Rivière Agnès,2025,Water Temperatures Across All Compartments of the Critical Zone in the Context of Global Change: Application to the Seine Hydrosystem,True,A référencer
HAL,Kirchner Anna,2025,Improving high latitude vegetation representation in the ORCHIDEE land surface model by introducing shrub PFTs,True,A référencer
HAL,Ardaneh Kazem,2025,"Fast, and Accurate Radiative Transfer for Land Surface Models",True,A référencer
HAL,Olivera-Guerra Luis-Enrique,2025,Assimilating ESA CCI land surface temperature into the ORCHIDEE land surface model: insights from a multi-site study across Europe,True,A référencer
HAL,Abramowitz Gab,2024,On the predictability of turbulent fluxes from land: PLUMBER2 MIP experimental description and preliminary results,True,A référencer
HAL,Olivera-Guerra Luis,2024,Improving Orchidee Simulations of Surface Energy Fluxes Assimilating the ESA-CCI LST Product,True,A référencer
HAL,Roxana Petrescu Ana Maria,2024,Comparison Of Observation- And Inventory-Based Methane Emissions For Eight Large Global Emitters,True,A référencer
HAL,Raoult Nina,2024,Exploring The Potential Of History Matching For Land Surface Model Calibration,True,A référencer
HAL,Sanchez Jaime A. Riano,2024,Projected changes in land carbon store over the 21st century: what contributions from land use change and atmospheric nitrogen deposition?,True,A référencer
HAL,Lauerwald Ronny,2024,"Carbon and Greenhouse Gas Budgets of Europe: Trends, Interannual and Spatial Variability, and Their Drivers",True,A référencer
HAL,Sitch Stephen,2024,Trends and Drivers of Terrestrial Sources and Sinks of Carbon Dioxide: An Overview of the TRENDY Project,True,A référencer
HAL,Mcgrath Matthew,2024,The consolidated European synthesis of CO 2 emissions and removals for the European Union and United Kingdom: 1990-2020,True,A référencer
HAL,Mostefaoui Mounia,2024,Greenhouse gas emissions and their trends over the last 3 decades across Africa,True,A référencer
