Nom_archive,Premier_auteur,Date de publication,Titre_unique,Sans_référencement,Present_in_HAL
HAL,Albanese Patricia,2025,Identification of a GATA-overlapping sequence within the enhancer of the murine GPIIb promoter that induces transcriptional deregulation in human K562 cells,True,A référencer
HAL,Rybak Mateusz,2025,Marine and brackish Luticola D.G.Mann (Bacillariophyta) species from the Java Sea and South China Sea coasts with the description of three new species,True,A référencer
HAL,Román Alejandro,2025,Mapping intertidal microphytobenthic biomass with very high-resolution remote sensing imagery in an estuarine system,True,A référencer
HAL,Oiry Simon,2025,Discriminating Seagrasses from Green Macroalgae in European Intertidal Areas Using High-Resolution Multispectral Drone Imagery,True,A référencer
HAL,Davies Bede Ffinian Rowe,2025,Intertidal seagrass extent from Sentinel-2 time-series show distinct trajectories in Western Europe,True,A référencer
HAL,Davies Bede Ffinian Rowe,2024,Multi- and hyperspectral classification of soft-bottom intertidal vegetation using a spectral library for coastal biodiversity remote sensing,True,A référencer
HAL,Davies Bede Ffinian Rowe,2024,A sentinel watching over inter-tidal seagrass phenology across Western Europe and North Africa,True,A référencer
HAL,Adam Frédéric,2024,Platelet JNK1 is involved in secretion and thrombus formation,True,A référencer
HAL,Lamrani Lamia,2024,New insights into regulation of αIIbβ3 integrin signaling by filamin A,True,A référencer
HAL,Feng Miao,2024,NAADP/SERCA3-Dependent Ca2+ Stores Pathway Specifically Controls Early Autocrine ADP Secretion Potentiating Platelet Activation,True,A référencer
HAL,Donada Alessandro,2024,La rupture de l'interaction entre la filamine A et le complexe aIIbb3 conduit à l'activation de la voie RhoA entraînant une macrothrombocytopénie,True,A référencer
HAL,Rosa Jean-Philippe,2024,Filamin A: key actor in platelet biology,True,A référencer
HAL,Dupont Annabelle,2024,Maladie de Willebrande type 2B et thrombopénies : Impact de la désialylation des plaquettes.,True,A référencer
HAL,Feng Miao,2024,SERCA3 calcium pump: discovery of a new calcium signalling pathway that triggers platelet activation,True,A référencer
HAL,Dupont Annabelle,2024,Relevance of platelet desialylation and thrombocytopenia in type 2B von Willebrand disease: preclinical and clinical evidence,True,A référencer
HAL,Feng Miao,2024,Le récepteur PAR4 initie la voie SERCA3/NAADP qui potentialise l'activation des plaquettes en réponse à la thrombine.,True,A référencer
HAL,Feng Miao,2024,NAADP/SERCA3-dependent Ca2+ stores pathway specifically controls early autocrine ADP secretion potentiating platelet activation.,True,A référencer
HAL,Feng Miao,2024,L'ADP sécrétée par la voie de signalisation calcique plaquettaire NAADP/SERCA3 active spécifiquement le récepteur purinergique P2Y12 et pas P2Y1,True,A référencer
HAL,Elaib Ziane,2024,Specific mobilization of SERCA3-dependent Ca2+ stores by NAADP regulates platelet activity through ADP secretion.,True,A référencer
HAL,Elaïb Ziane,2024,Platelet Functions are Decreased in Obesity and Restored after Weight Loss: Evidence for a Role of the SERCA3-Dependent ADP Secretion Pathway,True,A référencer
HAL,Berrou Eliane,2024,A mutation of the human EPHB2 gene leads to a major platelet functional defect,True,A référencer
HAL,Donada Alessandro,2024,Disrupted filamin A/αIIbβ3 interaction induces macrothrombocytopenia by increasing RhoA activity,True,A référencer
ORCID,Marta Román,2025.0,Discrimination of the intertidal goose barnacle Pollicipes pollicipes from rocky shore invertebrates and macroalgae using in situ hyperspectral signatures,A déposer sur HAL,False
