Nom_archive,Premier_auteur,Date de publication,Titre_unique,Sans_référencement,Present_in_HAL
HAL,Buquet Damien,2025,Shape of the shallow aquifer at the fresh water–sea water interface on a high-energy sandy beach,True,A référencer
HAL,Anschutz Pierre,2025,Role of manganese oxides and oxyhydroxides in phosphate sequestration in natural aquatic environments,True,A référencer
HAL,Villate Fernando,2024,Editorial: Changing ecosystems: New findings in the Bay of Biscay,True,A référencer
HAL,Maury-Brachet Régine,2024,Lacs Aquitains et mercure,True,A référencer
HAL,Sundby Bjorn,2024,When deep diagenesis in Arctic Ocean sediments compromises manganese-based geochronology,True,A référencer
HAL,Wilson Stephanie J,2024,Global subterranean estuaries modify groundwater nutrient loading to the ocean,True,A référencer
HAL,Charbonnier Celine,2024,Role of macrofauna on benthic oxygen consumption in sandy sediments of a high-energy tidal beach,True,A référencer
HAL,Anschutz Pierre,2024,Hydrothermal Activity and Paleoenvironments of the Atlantis II Deep,True,A référencer
HAL,Buquet Damien,2024,Nutrient sequestration in Aquitaine lakes (SW France) limits nutrient flux to the coastal zone,True,A référencer
HAL,Wilson Stephanie,2024,Global coastal groundwater and subterranean estuary nutrients,True,A référencer
HAL,Canton Mathieu,2024,Nutrient export to an Eastern Atlantic coastal zone: first modeling and nitrogen mass balance,True,A référencer
HAL,Ribaudo Cristina,2024,Corrigendum: Invasive Aquatic Plants as Ecosystem Engineers in an Oligo-Mesotrophic Shallow Lake,True,A référencer
