Nom_archive,Premier_auteur,Date de publication,Titre_unique,Sans_référencement,Present_in_HAL
HAL,Copard Yoann,2025,Soil Carbon Dynamics Reshaped by Ancient Carbon Quantification,True,A référencer
HAL,Wang Qi,2025,"Soil carbon sequestration, climate change mitigation, nitrogen pollution and agro-food supply: navigating trade-offs in future cropland management strategies",True,A référencer
HAL,Lebrun Thauront Johanne,2025,"Subsoils, but not toeslopes, store millennia-old PyC in a gently sloping catchment under temperate climate after centuries of fire suppression",True,A référencer
HAL,Chenu Claire,2025,"Methods for studying soil organic matter: nature, dynamics, spatial accessibility, and interactions with minerals",True,A référencer
HAL,Gartzia-Bengoetxea Nahia,2025,Mineral control of organic carbon storage in acid temperate forest soils in the Basque Country,True,A référencer
HAL,Khedim Norine,2025,Topsoil organic matter build‐up in glacier forelands around the world,True,A référencer
HAL,Kpemoua Tchodjowiè Panaewazou Israël,2024,Le carbone organique additionnel stocké grâce à des pratiques agroécologiques est-il stable à l'échelle de la décennie ?,True,A référencer
HAL,Barré Pierre,2024,Initializing the stable pool of soil carbon models using Rock-Eval thermal analysis to improve their accuracy,True,A référencer
HAL,Barré Pierre,2024,Initializing the stable pool of soil carbon models using Rock-Eval thermal analysis to improve their accuracy,True,A référencer
HAL,Chen Haotian,2024,"Changements, interactions et déterminants des propriétés chimiques, physiques et biologiques du sol après l'application répétée de PRO à QualiAgro et PROspective",True,A référencer
HAL,Chenu Claire,2024,"Storing additional carbon in soil: different practices, different stabilities of the organic matter?",True,A référencer
HAL,Lebrun Thauront Johanne,2024,Prediction of soil pyrogenic carbon contents from Rock-Eval® thermal analysis: a machine-learning based model,True,A référencer
HAL,van Oort Folkert,2024,Evolutions pédologiques centenaires et bilans géochimiques contemporains : intérêt de l’essai de longue durée en sol nu des 42 parcelles.,True,A référencer
HAL,Chenu Claire,2024,Les jachères nues de longue durée: une plateforme pour analyser la dynamique du carbone dans les sols,True,A référencer
HAL,Barré Pierre,2024,Étudier le carbone organique persistant des sols à l'aide des jachères nues de longue durée,True,A référencer
HAL,Henneron Ludovic,2024,Bioenergetic control of soil carbon dynamics across depth,True,A référencer
HAL,Israel Kpemoua Tchodjowiè,2024,Is the additional organic carbon stored thanks to alternative cropping systems and organic waste products application predominantly stable at a decadal timescale?,True,A référencer
HAL,Chenu Claire,2024,Decadal and centennial scale stable soil organic carbon : insights from long term bare fallows,True,A référencer
HAL,Chenu Claire,2024,Increasing soil organic C storage and persistence in soils: levers associated with microbial and physical controls,True,A référencer
HAL,Kpemoua Tchodjowiè P.I.,2024,Drivers of the amount of organic carbon protected inside soil aggregates estimated by crushing: A meta-analysis,True,A référencer
HAL,Kpemoua Tchodjowiè P. I.,2024,"Assessment of soil organic carbon (SOC) sensitivity to increasing temperatures, soil moisture, and dry-wet cycles in temperate agricultural soils",True,A référencer
HAL,Kpemoua Tchodjowiè Israel,2024,Biogeochemical stability of additional carbon stored under alternative agricultural practices and organic waste product application: what do granulo-densimetric fractionation and Rock-Eval® thermal analysis tell us?,True,A référencer
HAL,Delahaie Amicie,2024,Rock-Eval®-RMQS: Monitoring the Characteristics of SOM on the French Territory with Rock-Eval® 6 Thermal Analysis to Assess its Stability,True,A référencer
HAL,Clivot Hugues,2024,Modélisation de l'évolution des stocks de carbone organique dans les sols : travaux et perspectives de recherche autour du modèle AMG,True,A référencer
HAL,Soucémarianadin Laure,2024,The contribution of deep soil horizons to persistent organic carbon sequestration in French forest soils,True,A référencer
HAL,Kpemoua Tchodjowiè Panaewazou Israël,2024,Les sols stockant du carbone sont-ils plus sensibles au changement climatique ?,True,A référencer
HAL,Delahaie Amicie,2024,Complementarity and drivers of thermal and physical soil organic carbon fractions at the scale of mainland France,True,A référencer
HAL,Rabot Eva,2024,Relevance of the organic carbon to clay ratio as a national soil health indicator,True,A référencer
HAL,Poeplau Christopher,2024,Cover crops do increase soil organic carbon stocks—A critical comment on Chaplot and Smith (2023),True,A référencer
HAL,Barre Pierre,2024,Microbial and plant-derived compounds both contribute to persistent soil organic carbon in temperate soils,True,A référencer
HAL,Barré Pierre,2024,"Indicateurs de flux (> décennie) et stockage de carbone dans les sols agricoles, forestiers et urbains",True,A référencer
HAL,Barré Pierre,2024,"La séquestration de carbone dans les sols agricoles, forestiers et urbains : état des lieux des méthodes d’évaluation et de quantification",True,A référencer
