Nom_archive,Premier_auteur,Date de publication,Titre_unique,Sans_référencement,Present_in_HAL
HAL,Nakhavali Mahdi,2025.0,Historical trends and drivers of the laterally transported terrestrial dissolved organic carbon to river systems,True,A référencer
HAL,Lauerwald Ronny,2025.0,"Global Inland Water Greenhouse Gas Emissions: Patterns, Trends, and Anthropogenic Drivers",True,A référencer
HAL,Poulter Benjamin,2025.0,"The North American Greenhouse Gas Budget: Emissions, Removals, and Integration for CO<sub>2</sub>, CH<sub>4</sub>, and N<sub>2</sub>O (2010–2019): Results From the Second REgional Carbon Cycle Assessment and Processes Study (RECCAP2)",True,A référencer
HAL,Liu Maodian,2024.0,Global riverine land-to-ocean carbon export constrained by observations and multi-model assessment,True,A référencer
HAL,Roxana Petrescu Ana Maria,2024.0,Comparison Of Observation- And Inventory-Based Methane Emissions For Eight Large Global Emitters,True,A référencer
HAL,Laruelle Goulven G,2024.0,Regionalized global budget of the CO<sub>2</sub> exchange at the air‐water interface in continental shelf seas,True,A référencer
HAL,Sun Qing,2024.0,The Modeled Seasonal Cycles of Surface N<sub>2</sub>O Fluxes and Atmospheric N<sub>2</sub>O,True,A référencer
HAL,Lauerwald Ronny,2024.0,"Carbon and Greenhouse Gas Budgets of Europe: Trends, Interannual and Spatial Variability, and Their Drivers",True,A référencer
HAL,Nakhavali Mahdi,2024.0,Predicting Future Trends of Terrestrial Dissolved Organic Carbon Transport to Global River Systems,True,A référencer
HAL,Ma Minna,2024.0,Estimating the global lateral transfer of nitrogen through river network using a land surface model,True,A référencer
HAL,Lauerwald Ronny,2024.0,"Synthesis, homogenisation and regionalisation of inland water greenhouse gas budget estimates for the RECCAP2 initiative",True,A référencer
HAL,Mcgrath Matthew,2024.0,The consolidated European synthesis of CO 2 emissions and removals for the European Union and United Kingdom: 1990-2020,True,A référencer
HAL,Tian Hanqin,2024.0,Global nitrous oxide budget (1980-2020),True,A référencer
