Nom_archive,Premier_auteur,Date de publication,Titre_unique,Sans_référencement,Present_in_HAL
HAL,Bailet Bonnie,2025,Diving deep into kelp forest food webs using dietary DNA metabarcoding,True,A référencer
HAL,Garcia-Launay Florence,2025,Estimer le bilan environnemental d’une gestion collective des effluents par modélisation,True,A référencer
HAL,Minart Corentin,2025,"An innovative sampling protocol for fish species identification methods in shallow waters: towed diver, towed video and stereoscopic camera system",True,A référencer
HAL,Dedet Juliette,2025,"Suivi participatif en plongée sous-marine des poissons et habitats rocheux côtiers d’Atlantique, Manche et Mer du Nord. Phase de test 2023-2024",True,A référencer
HAL,Lucas Tiphaine,2025,Valorisation des rebuts et invendus de pain - Exemple d'instrument d'une circularité territoriale existante mais fragile,True,A référencer
HAL,Barrau Enora,2025,Opérationnalisation des principes low-tech appliqués à des filières de gestion des déchets,True,A référencer
HAL,Barrau Enora,2025,Life Cycle Assessment of Concrete Recycling Solutions in Light of Their Technical Complexity,True,A référencer
HAL,Ternon Quentin,2025,Unveiling hidden connections using photogrammetry: Multi-scale relationships between benthic communities and rocky subtidal seascapes,True,A référencer
HAL,Delesalle Marine,2025,Proposition d'une méthodologie pour l'élaboration de la stratégie nationale de surveillance des poissons et céphalopodes dans les milieux côtiers des façades Atlantique-Manche Mer du Nord : le cas des poissons pélagiques et des poissons bentho-démersaux sur substrats durs et habitats biogéniques,True,A référencer
HAL,David Viviane,2024,Species identification of fish shoals using coupled split-beam and multibeam echosounders and two scuba-diving observational methods,True,A référencer
HAL,Barrau Enora,2024,Approche sociotechnique pour l’évaluation des systèmes de gestion des déchets,True,A référencer
HAL,Cartier Sylvie,2024,"Développement d'un réseau de surveillance & observation des poissons côtiers rocheux, compte-rendu et perspectives de l'atelier DCSMM-ILICO 2022",True,A référencer
HAL,Delesalle Marine,2024,Recensement des dispositifs de suivis poissons dans les Aires Marines Protégées de Méditerranée Française,True,A référencer
HAL,David Viviane,2024,Species identification of fish shoals combining multibeam and split-beam echosounders with visual observations from diving [résumé],True,A référencer
