Nom_archive,Premier_auteur,Date de publication,Titre_unique,Sans_référencement,Present_in_HAL
HAL,Coiffard Adrien,2025.0,Target versus budget reverse auctions: an online experiment using the strategy method,True,A référencer
HAL,Lécole Pauline,2025.0,Supporting the small market gardening sector in France: Comparison of two policy options,True,A référencer
HAL,Bougherara Douadia,2025.0,Agri-environmental contracts and improving sequences of payments: A choice experiment,True,A référencer
HAL,Bougherara Douadia,2025.0,Eliciting Preferences for Sequences of Payment in Agri-Environmental Schemes,True,A référencer
HAL,Lapierre Margaux,2025.0,How to design AES to cope with uncertainty? Insights from the option value,True,A référencer
HAL,Lapierre Margaux,2025.0,A Choice Experiment To Test Commitment Flexibility And Peer-learning In Agrienvironmental Schemes,True,A référencer
HAL,Le Velly Gwenolé,2025.0,Des mesures agro-environnementales innovantes pour sortir des pesticide,True,A référencer
HAL,Bougherara Douadia,2025.0,"Innovativeness, innovation adoption and priming: Nudging farmers in a large-scale randomized experiment in France",True,A référencer
HAL,Lapierre Margaux,2025.0,Designing Agri-Environmental Schemes to cope with uncertainty,True,A référencer
HAL,Mathex Simon,2025.0,Behavioral rebound effect and moral compensation: an online experiment,True,A référencer
HAL,Préget Raphaële,2024.0,Compteurs d’eau connectés : comment inciter les agriculteurs à optimiser leur gestion de l’eau ?,True,A référencer
HAL,Mathex Simon,2024.0,Wood heating and moral licensing: a survey study,True,A référencer
HAL,Lécole Pauline,2024.0,Supporting The Small Market Gardening Sector In France: Comparison Of CAP Policy Options,True,A référencer
HAL,Lecole Pauline,2024.0,Supporting the small market gardening sector in France: comparison of two policy options,True,A référencer
HAL,Coiffard Adrien,2024.0,Conservation auctions: an online double constraint reverse auction experiment,True,A référencer
ORCID,Simon Mathex,2025.0,Behavioral rebound effect and moral compensation: An online experiment,A déposer sur HAL,False
