Nom_archive,Premier_auteur,Date de publication,Titre_unique,Sans_référencement,Present_in_HAL
HAL,Le Berre David,2025.0,Trade-offs between agroecological principles in sub-saharian Africa,True,A référencer
HAL,Beillouin Damien,2025.0,"Agroforestry and soil organic carbon in the Latin American and Caribbean region, a meta-analysis",True,A référencer
HAL,Demenois Julien,2025.0,Séquestration du carbone dans le sol : une solution pour atténuer le changement climatique et s'y adapter ?,True,A référencer
HAL,Couedel Antoine,2025.0,"Soil fertility change outweighs climate change impact on maize yield in sub-Saharan Africa, a multi-model study",True,A référencer
HAL,Bouhenache Abderrahim,2025.0,Impact of climate change on maize productivity and nitrogen cycling in the sub-humid tropics: a field case study under rainfall extremes in Zimbabwe,True,A référencer
HAL,Cardinael Rémi,2025.0,Slightly higher nitrous oxide emissions do not offset the climate benefit of additional SOC storage in two long-term conservation agriculture experiments in sub-humid Zimbabwe,True,A référencer
HAL,Nyawasha Rumbidzai,2025.0,The overlooked soil organic carbon stocks in African mixed crop-livestock farming systems: a case study from Zimbabwe,True,A référencer
HAL,Leng Vira,2025.0,Diachronic assessment of soil organic C and N dynamics under long-term no-till systems in the tropical upland of Cambodia,True,A référencer
HAL,Terasaki Hart Drew,2025.0,Priority science can accelerate agroforestry as a natural climate solution,True,A référencer
HAL,Pret Valentin,2025.0,Don't put all your eggs in one basket: legumes diversification to improve resilience of rainfed cropping systems in sub-humid Zimbabwe,True,A référencer
HAL,Couedel Antoine,2025.0,A comparison of 16 soil-crop models using four long-term experiments in sub-Saharan Africa to guide model improvement,True,A référencer
HAL,Leng Vira,2025.0,Soil organic carbon and nitrogen dynamics under long-term conservation agriculture systems in Cambodia,True,A référencer
HAL,Cardinael Rémi,2025.0,Sustaining maize yields and soil carbon following land clearing in the forest-savannah transition zone of West Africa: Results from a 20-year experiment,True,A référencer
HAL,Shumba Armwell,2025.0,Soil organic carbon stocks and greenhouse gas emissions in two long-term conservation agriculture experiments in sub-humid Zimbabwe,True,A référencer
HAL,Koutika Lydie-Stella,2025.0,The contribution of agroforestry systems to improving soil carbon sequestration,True,A référencer
HAL,Shumba Armwell,2025.0,"Long-term tillage, residue management and crop rotation impacts on N2O and CH4 emissions from two contrasting soils in sub-humid Zimbabwe",True,A référencer
HAL,Terasaki Hart Drew,2025.0,Agroforestry as a climate solution: Moving from potential to practice,True,A référencer
HAL,Wiesmeier Martin,2025.0,Soil organic carbon sequestration in temperate agroforestry systems – A meta-analysis,True,A référencer
HAL,Cook-Patton Susan,2025.0,Building a global carbon database to characterize agroforestry as a natural climate solution,True,A référencer
HAL,Bamiere Laure,2025.0,Storing carbon in French agricultural soils: potential and cost of additionnal storage,True,A référencer
HAL,Cardinael Rémi,2025.0,Sustaining maize yields and soil carbon following land clearing in the forest–savannah transition zone of West Africa: Results from a 20-year experiment,True,A référencer
HAL,Mayer Stefanie,2025.0,Soil organic carbon sequestration in temperate agroforestry systems: A meta-analysis,True,A référencer
HAL,Fungo Bernard,2025.0,Agroforestry 3: Agrosilvopastoral systems,True,A référencer
HAL,Fungo Bernard,2025.0,Agroforestry 2: Sylvopastoral systems,True,A référencer
HAL,Fungo Bernard,2025.0,Agroforestry 1: Agrisilvicultural systems,True,A référencer
HAL,Namatsheve Talent,2025.0,"Maize-cowpea intercropping as an ecological intensification option for low input systems in sub-humid Zimbabwe: Productivity, biological N2-fixation and grain mineral content",True,A référencer
HAL,Chevallier Tiphaine,2025.0,Contribution of inorganic carbon to CO2 emissions under a Mediterranean agroforestry system,True,A référencer
HAL,Cardinael Rémi,2025.0,Organic carbon decomposition rates with depth and contribution of inorganic carbon to CO2 emissions under a Mediterranean agroforestry system,True,A référencer
HAL,Diop Souleymane,2025.0,Balancing biogeochemical gains and surface albedo shifts: climate impacts of no-tillage and mulching in Southern Africa,True,A référencer
HAL,Grandy A. Stuart,2025.0,A microbial framework for nitrogen cycling solutions in agroecosystems,True,A référencer
HAL,Diop Souleymane,2025.0,Modelling albedo and the energy budget using the STICS soil-crop model – Application to two Sub-Saharan sites,True,A référencer
HAL,Couëdel Antoine,2025.0,Modeling agroecological intensification in the tropics with the Stics model-lessons learned and way forward,True,A référencer
HAL,Beillouin Damien,2024.0,A global meta-analysis of soil organic carbon in the Anthropocene,True,A référencer
HAL,Bouhenache Abderrahim,2024.0,Impact of rainfall extremes and mulch application on maize productivity and nitrogen use in Zimbabwe,True,A référencer
HAL,Chenu Claire,2024.0,"Storing additional carbon in soil: different practices, different stabilities of the organic matter?",True,A référencer
HAL,Cardinael Rémi,2024.0,A new long-term experiment to explore the impact of rainfall extremes on the agronomicand environmental performances of cropping systems in the sub-humid tropics,True,A référencer
HAL,Bouhenache Abderrahim,2024.0,Impact of climate change on maize productivity and nitrogen cycling in the subhumid tropics: a field case study under rainfall extremes in Zimbabwe,True,A référencer
HAL,Namatsheve Talent,2024.0,Productivity and biological N2-fixation in cereal-cowpea intercropping systems in sub-Saharan Africa. A review,True,A référencer
HAL,Cardinael Rémi,2024.0,Belowground functioning of agroforestry systems: recent advances and perspectives,True,A référencer
HAL,Beillouin Damien,2024.0,"A global database of land management, land-use change and climate change effects on soil organic carbon",True,A référencer
HAL,Cardinael Rémi,2024.0,Organic carbon decomposition rates with depth under an agroforestry system in a calcareous soil,True,A référencer
HAL,Cardinael Rémi,2024.0,Spatial variation of earthworm communities and soil organic carbon in temperate agroforestry,True,A référencer
HAL,Chenu Claire,2024.0,Stabilization-destabilization of soil organic matter in the long term : insights from long term bare fallows,True,A référencer
HAL,Cardinael Rémi,2024.0,Sécurité alimentaire et ressources naturelles : stratégies de diversification,True,A référencer
HAL,Poeplau Christopher,2024.0,Cover crops do increase soil organic carbon stocks—A critical comment on Chaplot and Smith (2023),True,A référencer
HAL,Angers Denis,2024.0,A well‐established fact: rapid mineralization of organic inputs is an important factor for soil carbon sequestration,True,A référencer
HAL,Portell Xavier,2024.0,Editorial : Celebrating the work of Early Career Researchers in Soil Science,True,A référencer
