Nom_archive,Premier_auteur,Date de publication,Titre_unique,Sans_référencement,Present_in_HAL
HAL,Nakhavali Mahdi,2025.0,Historical trends and drivers of the laterally transported terrestrial dissolved organic carbon to river systems,True,A référencer
HAL,Davoudkhani Mohsen,2025.0,Global sorghum production dataset for temperate to subtropical regions at subnational scale over 2000-2020,True,A référencer
HAL,Lauerwald Ronny,2025.0,"Global Inland Water Greenhouse Gas Emissions: Patterns, Trends, and Anthropogenic Drivers",True,A référencer
HAL,Hollitzer Helene,2025.0,Quantifying how nutrient and carbon inputs from land affect Arctic Ocean acidification,True,A référencer
HAL,Baud Fraile Emilio,2025.0,Assessment of climate mitigation potential of French grasslands using the land surface model ORCHIDEE-GM,True,A référencer
HAL,Diop Souleymane,2025.0,Balancing biogeochemical gains and surface albedo shifts: climate impacts of no-tillage and mulching in Southern Africa,True,A référencer
HAL,Deng Shuaishuai,2025.0,Detection of the effects of hydraulic activation of stomata (HAS) on the water use efficiency of crops,True,A référencer
HAL,Davoudkhani Mohsen,2025.0,Potential for expanding sorghum production in Europe in the face of climate change,True,A référencer
HAL,Diop Souleymane,2025.0,Modelling albedo and the energy budget using the STICS soil-crop model – Application to two Sub-Saharan sites,True,A référencer
HAL,Liu Maodian,2024.0,Global riverine land-to-ocean carbon export constrained by observations and multi-model assessment,True,A référencer
HAL,Roxana Petrescu Ana Maria,2024.0,Comparison Of Observation- And Inventory-Based Methane Emissions For Eight Large Global Emitters,True,A référencer
HAL,Hugelius G.,2024.0,"Permafrost Region Greenhouse Gas Budgets Suggest a Weak CO<sub>2</sub> Sink and CH<sub>4</sub> and N<sub>2</sub>O Sources, But Magnitudes Differ Between Top‐Down and Bottom‐Up Methods",True,A référencer
HAL,Tong Yongping,2024.0,Dataset of soil hydraulic parameters in the Yellow River Basin based on in situ deep sampling,True,A référencer
HAL,Laruelle Goulven G,2024.0,Regionalized global budget of the CO<sub>2</sub> exchange at the air‐water interface in continental shelf seas,True,A référencer
HAL,Jones Chris D,2024.0,RECCAP2 Future Component: Consistency and Potential for Regional Assessment to Constrain Global Projections,True,A référencer
HAL,Lauerwald Ronny,2024.0,"Carbon and Greenhouse Gas Budgets of Europe: Trends, Interannual and Spatial Variability, and Their Drivers",True,A référencer
