Nom_archive,Premier_auteur,Date de publication,Titre_unique,Sans_référencement,Present_in_HAL
HAL,Michelot Agnès,2025,Les TAAF : des territoires singuliers pour un appel à la prospective juridique,True,A référencer
HAL,Ménissier Thierry,2025,Comment rendre les Conventions citoyennes pour le climat encore plus démocratiques ?,True,A référencer
HAL,Aumond Florian,2025,"Les TAAF : enjeux institutionnels, géopolitiques et environnementaux",True,A référencer
HAL,Langlais Alexandra,2025,Carbon farming : quel accompagnement juridique pour quelle transition agroécologique ?,True,A référencer
HAL,Lavorel Sabine,2025,"La responsabilité de préparer, nouveau paradigme face au changement climatique ?",True,A référencer
HAL,Biros Camille,2025,Responsabilité climatique et réparation des dommages causés par les changements climatiques : étude de cas sur l’indétermination en contexte juridique multilingue,True,A référencer
HAL,Biros Camille,2025,"Loss, Damage and Compensation, A mixed methods approach to legal terminology in institutional and media discourse",True,A référencer
HAL,Lavorel Sabine,2024,"The French Southern and Antarctic Territories, little-known territories facing major challenges",True,A référencer
HAL,Moliner-Dubost Marianne,2024,COP28,True,A référencer
HAL,Biros Camille,2024,Responsabilité climatique et réparation des dommages causés par les changements climatiques,True,A référencer
