Nom_archive,Premier_auteur,Date de publication,Titre_unique,Sans_référencement,Present_in_HAL
HAL,Sobaga Antoine,2025,The First year of the French lysimetric network,True,A référencer
HAL,Lebrun Thauront Johanne,2025,"Subsoils, but not toeslopes, store millennia-old PyC in a gently sloping catchment under temperate climate after centuries of fire suppression",True,A référencer
HAL,Bellè Severin-Luca,2025,Key drivers of pyrogenic carbon redistribution during a simulated rainfall event,True,A référencer
HAL,Notterpek Ivy,2025,Introducing Benzene Polycarboxylic Acid Analysis: potential of a molecular marker for the study of archaeological hearths and wildfires,True,A référencer
HAL,Portzer Gabriel,2024,Experimental simulation of soil erosion in the context of climate change in NW France.,True,A référencer
HAL,Schiedung Marcus,2024,Millennial-aged pyrogenic carbon in high-latitude mineral soils,True,A référencer
HAL,Bowring Simon,2024,Pyrogenic carbon decomposition critical to resolving fire’s role in the Earth system,True,A référencer
HAL,Lebrun Thauront Johanne,2024,Prediction of soil pyrogenic carbon contents from Rock-Eval® thermal analysis: a machine-learning based model,True,A référencer
HAL,Ruiz L.,2024,Effect of nitrate concentration in stream water of agricultural practices in small catchments in Brittany: II. Temporal variations and mixing processes,True,A référencer
HAL,Delahaie Amicie,2024,Complementarity and drivers of thermal and physical soil organic carbon fractions at the scale of mainland France,True,A référencer
ORCID,Marie Arnaud,2025.0,The nature of soil blue carbon varies across mangrove geomorphic settings,A déposer sur HAL,False
ORCID,Antoine Sobaga,2025.0,The First year of the French lysimetric network,A déposer sur HAL,False
ORCID,Marion Maceiras,2025.0,Carbon recalcitrance and stabilization processes vary across mangrove eco-geomorphologies,A déposer sur HAL,False
ORCID,Ofiti Nicholas,2025.0,Climate warming and elevated CO2 alter peatland soil carbon sources and stability&#160;,A déposer sur HAL,False
ORCID,Gabriel Portzer,2025.0,Experimental simulation of soil erosion in the context of climate change in NW France.,A déposer sur HAL,False
ORCID,Johanne Lebrun Thauront,2024.0,A critical re‐analysis of biochar properties prediction from production parameters and elemental analysis,A déposer sur HAL,False
ORCID,Valerie R. Milici,2024.0,The Effects of Plant–Microbe–Environment Interactions on Mineral Weathering Patterns in a Granular Basalt,A déposer sur HAL,False
ORCID,Antoine Sobaga,2024.0,Towards a French lysimetric network: ONE WATER project,A déposer sur HAL,False
