Nom_archive,Premier_auteur,Date de publication,Titre_unique,Sans_référencement,Present_in_HAL
HAL,Macé Gabriel,2025,Code Explore-PAB : application pour l'analyse des dossiers de suivi de la Prime Air Bois,True,A référencer
HAL,Macé Gabriel,2025,Données dossiers individuels Prime Air Bois : rénovation des appareils de chauffage (3 intercommunalités iséroises),True,A référencer
HAL,Jany-Catrice Florence,2024,L’économie écologique. Une source d’inspiration pour penser la transition écologique,True,A référencer
HAL,Allain Sandrine,2024,"Mutations de la filière et de la gouvernance du bois-bûche : entre univers domestique, logique de marché et politiques de transition énergétique. Une étude de cas en Chartreuse.",True,A référencer
HAL,Allain Sandrine,2024,Changes in the sector and local governance for firewood: when the climate issue knocks at the door and comes in through the window,True,A référencer
HAL,Allain Sandrine,2024,"Mutations de la filière et de la gouvernance du bois-bûche : entre univers domestique, logique de marché et politiques de transition énergétique. Une étude de cas en Chartreuse.",True,A référencer
HAL,Allain Sandrine,2024,"Mutations de la filière et de la gouvernance du bois-bûche : entre univers domestique, logique de marché et politiques de transition énergétique. Une étude de cas en Chartreuse.",True,A référencer
HAL,Allain Sandrine,2024,"Mutations de la filière et de la gouvernance du bois-bûche : entre univers domestique, logique de marché et politiques de transition énergétique. Une étude de cas en Chartreuse.",True,A référencer
HAL,Allain Sandrine,2024,"Mutations de la filière et de la gouvernance du bois-bûche : entre univers domestique, logique de marché et politiques de transition énergétique. Une étude de cas en Chartreuse.",True,A référencer
HAL,Allain Sandrine,2024,Evaluation délibérative de scénarios pour des territoires agricoles en déficit hydrique,True,A référencer
HAL,Allain Sandrine,2024,"En marge de la transition énergétique ? Le bois-bûche, entre univers domestique, logique de marché et politiques territoriales.",True,A référencer
HAL,Allain Sandrine,2024,Vers une gestion structurelle de l'eau dans un territoire agricole en tension Une démarche d'évaluation multicritère multi-acteur utilisant des simulations informatiques,True,A référencer
HAL,Allain Sandrine,2024,"The ‘bioeconomics vs bioeconomy’ debate: beyond criticism, advancing research fronts",True,A référencer
