Nom_archive,Premier_auteur,Date de publication,Titre_unique,Sans_référencement,Present_in_HAL
HAL,Ducrocq Florent,2025,Fingerprinting and chemotyping approaches reveal a wide genetic and metabolic diversity among wild hops (Humulus lupulus L.),True,A référencer
HAL,Hoeffner Kevin,2025,"AVATAR-SOL, une méthode en développement pour évaluer l'impact des pratiques de gestion sur l'activité biologique des sols",True,A référencer
HAL,Tsachidou Bella,2025,Impact of Different Nitrogen Fertilizers on the Diversity and Abundance of Bacterial and Fungal Communities in Grassland Soils: The Emerging Case of Ammonium Sulfate and Sulfammox Process,True,A référencer
HAL,"Thibert, Chloé",2025,Conférence introductive au thème 3 : Biosolutions,True,A référencer
HAL,Velot Émilie,2025,Hop Extract Anti-Inflammatory Effect on Human Chondrocytes Is Potentiated When Encapsulated in Rapeseed Lecithin Nanoliposomes,True,A référencer
HAL,Slezack S,2024,Effects of Vibrance Gold on plant growth and N status of Wheat (Triticum aestivum L.),True,A référencer
HAL,Piutti Séverine,2024,Effects of Vibrance Gold® on soil parameters during wheat development,True,A référencer
HAL,Mounier Emmanuelle,2024,Influence du mucilage de maïs sur la structure et les activités de communautés nitrifiantes,True,A référencer
HAL,Nguyen Christophe,2024,"La rhizosphère, bioréacteur",True,A référencer
HAL,Slezack-Deschaumes Sophie,2024,Effet du mucilage de maïs sur la structure et la diversité des communautés bactériennes du sol,True,A référencer
HAL,Mounier E.,2024,Influence du mucilage de maïs sur la structure et les activités de communautés microbiennes fonctionnelles telluriques d’intérêt agronomique,True,A référencer
HAL,Gruet Y.,2024,Influence du mucilage de maïs sur la structure et les activités des communautés microbiennes telluriques,True,A référencer
