Nom_archive,Premier_auteur,Date de publication,Titre_unique,Sans_référencement,Present_in_HAL
HAL,Liu Xiansheng,2025,Source apportionment of PM<sub>10</sub> based on offline chemical speciation data at 24 European sites,True,A référencer
HAL,Upadhyay Abhishek,2025,High-resolution modelling of particulate matter chemical composition over Europe: brake wear pollution,True,A référencer
HAL,Lamothe Alexis,2025,1000 years of Nitrogen Oxide Sources in Western Europe: Evidence from Nitrogen Stable Isotopes (δ15N) of Nitrate in a Mont Blanc Ice Core,True,A référencer
HAL,Zare Shahne M.,2024,Seasonal variation of the chemical content and source identification of PM2.5 in a mixed landuse in Iran,True,A référencer
HAL,Lamothe Alexis,2024,300-Year NH3 Inventory in Europe: Uncovering Combustion's Recent Share,True,A référencer
HAL,Lamothe Alexis,2024,Mont Blanc ice core d15N(NO3-) values,True,A référencer
HAL,Lamothe Alexis,2024,Mont Blanc ice core data for NH3 source investigation in Europe,True,A référencer
HAL,Darfeuil Sophie,2024,Vers une meilleure compréhension des paléothermomètres moléculaires Uk′37 et TEX86 : apports d’une double approche données-modèles appliquée à la marge ibérique.,True,A référencer
HAL,Liu Xiansheng,2024,PM10-bound trace elements in pan-European urban atmosphere,True,A référencer
HAL,Li Chao,2024,Constraining the transport time of lithogenic sediments to the Okinawa Trough (East China Sea),True,A référencer
HAL,Amato F.,2024,Aerosol source apportionment uncertainty linked to the choice of input chemical components,True,A référencer
ORCID,Nico Hachgenei,2025.0,Water Pathways Through a Mediterranean Catchment -- Cross-Validation of a Distributed Hydrological Model with a Geochemical Mixing Model,A déposer sur HAL,False
ORCID,Alexis Lamothe,2024.0,1000 years of Nitrogen Oxide Sources in Western Europe: Evidence from Nitrogen Stable Isotopes (δ15N) of Nitrate in a Mont Blanc Ice Core,A déposer sur HAL,False
ORCID,Alexis Lamothe,2024.0,300-Year NH3 Inventory in Europe: Uncovering Combustion's Recent Share,A déposer sur HAL,False
