Nom_archive,Premier_auteur,Date de publication,Titre_unique,Sans_référencement,Present_in_HAL
HAL,Lécole Pauline,2025.0,Supporting the small market gardening sector in France: Comparison of two policy options,True,A référencer
HAL,Vialatte Aude,2025.0,"Protecting crops with plant diversity: Agroecological promises, socioeconomic lock-in, and political levers",True,A référencer
HAL,Thoyer Sophie,2025.0,Les Hauts-de-France peuvent-ils sortir des pesticides ?,True,A référencer
HAL,Schaak Henning,2025.0,How Well Can Experts Predict Farmers' Risk Preferences ?,True,A référencer
HAL,Bougherara Douadia,2025.0,Les outils numériques d’aide à la décision pour la réduction des pesticides : une perspective économique,True,A référencer
HAL,Bougherara Douadia,2025.0,"Innovativeness, innovation adoption and priming: Nudging farmers in a large-scale randomized experiment in France",True,A référencer
HAL,Guyomard Hervé,2025.0,The next reform of the CAP: The variables in the equation,True,A référencer
HAL,Bougherara Douadia,2024.0,Améliorer les outils numériques d’aide à la décision pour la protection phytosanitaire des cultures,True,A référencer
HAL,Lécole Pauline,2024.0,Supporting The Small Market Gardening Sector In France: Comparison Of CAP Policy Options,True,A référencer
HAL,Lecole Pauline,2024.0,Supporting the small market gardening sector in France: comparison of two policy options,True,A référencer
