Nom_archive,Premier_auteur,Date de publication,Titre_unique,Sans_référencement,Present_in_HAL
HAL,Young-Brun Marie,2025,Within-country inequality and the shaping of a just global climate policy,True,A référencer
HAL,Young-Brun Marie,2024,Distributional Aspects of Climate Policies,True,A référencer
HAL,Pottier Antonin,2024,The welfare implications of climate change-related mortality: Inequality and population ethics,True,A référencer
HAL,Méjean Aurélie,2024,When opposites attract: Averting a climate catastrophe despite differing ethical views,True,A référencer
HAL,Méjean Aurélie,2024,When Opposites Attract: Averting a Climate Catastrophe Despite Differing Ethical Views,True,A référencer
HAL,Méjean Aurélie,2024,When Opposites Attract: Averting a Climate Catastrophe Despite Differing Ethical Views,True,A référencer
HAL,Méjean Aurélie,2024,"Catastrophic climate change, population ethics and intergenerational equity",True,A référencer
HAL,Méjean Aurélie,2024,"Catastrophic climate change, population ethics and intergenerational equity",True,A référencer
HAL,Méjean Aurélie,2024,Intergenerational equity under catastrophic climate change,True,A référencer
HAL,Méjean Aurélie,2024,Intergenerational equity under catastrophic climate change,True,A référencer
HAL,Pottier Antonin,2024,Integrated assessment of climate and population change: A first pass,True,A référencer
HAL,Pottier Antonin,2024,Integrated assessment of climate and population change: A first pass,True,A référencer
