Nom_archive,Premier_auteur,Date de publication,Titre_unique,Sans_référencement,Present_in_HAL
HAL,Saccò Mattia,2025,Advancing subterranean conservation through Global Research on eDNA in Groundwaters (GReG),True,A référencer
HAL,Liénart Camilla,2025,Relationship between bacterial compartment and particulate organic matter (POM) in coastal systems: An assessment using fatty acids and stable isotopes,True,A référencer
HAL,Abril Gwenaël,2025,"Carbon dioxide emissions from coastal waters and mangrove sediments in a microtidal bay under tropical monsoon climate (Martinique, Lesser Antilles)",True,A référencer
HAL,Giry Claire,2025,"OCEAN. Analysis, Evaluation and impact assessment of funded projects (2005-2024)",True,A référencer
HAL,Roussel Théotime,2025,Limnospira (Cyanobacteria) chemical fingerprint reveals local molecular adaptation,True,A référencer
HAL,Deborde Jonathan,2024,"Concentrations and fractionation of carbon, iron, sulfur, nitrogen and phosphorus in mangrove sediments along an intertidal gradient (semi-arid climate, New Caledonia)",True,A référencer
HAL,Chynel Mathias,2024,Sargassum beaching on mangrove sediments shifts microbial and crab metabolisms and enhances blue carbon storage,True,A référencer
HAL,Chielle Raisa,2024,Fatty acids and stable isotopes distribution in the mangrove dominated Parnaíba River Delta,True,A référencer
HAL,Gigot Mathilde,2024,"Noise pollution causes parental stress on marine invertebrates, the Giant scallop example",True,A référencer
HAL,David Frank,2024,Sex-specific seasonal variations in the fatty acid and carotenoid composition of sea cucumber gonads and implications for aquaculture,True,A référencer
