Nom_archive,Premier_auteur,Date de publication,Titre_unique,Sans_référencement,Present_in_HAL
HAL,Dutoit Thierry,2025,"Restaurer, renaturer ou réensauvager les socio-écosystèmes : une diversité d'actions salvatrice ?",True,A référencer
HAL,Perret Vincent,2025,Identification de la présence d'amiante dans les matériaux de construction,True,A référencer
HAL,Mutillod Clémentine,2025,Plant trait responses to herbivore type managed as domestic or as wild,True,A référencer
HAL,Blaix Cian,2025,Plant evenness improves forage mineral content in semi-natural grasslands,True,A référencer
HAL,Shaiban Houssam,2025,Trifolium subterraneum as a potential nurse plant for restoring soil and Mediterranean grasslands after quarry exploitation in Lebanon,True,A référencer
HAL,Vassas Margot,2025,Etude des stocks de carbone organique du sol de prairies en cours de réhabilitation dans le Sud de la France,True,A référencer
HAL,Saby Léa,2025,Nature‐Based Solutions Increase Sowing Success for Mediterranean Grassland Restoration: A First Short‐Term In Situ and Ex Situ Comparison,True,A référencer
HAL,Dutoit Thierry,2024,Regards croisés sur les concepts d’ingénierie environnementale et d’ingénierie climatique,True,A référencer
HAL,Dutoit Thierry,2024,Restaurer ou réensauvager la nature ?,True,A référencer
HAL,Dutoit Thierry,2024,"Sur la steppe de la Crau, les fourmis font-elles mieux que l'humain ?",True,A référencer
HAL,Dutoit Thierry,2024,"Sous le béton, la steppe ?",True,A référencer
HAL,Medeiros Natalia F,2024,La colonisation des pins affecte-t-elle la biodiversité des écosystèmes herbacés?,True,A référencer
HAL,Buisson Elise,2024,Comment les insectes sont-ils pris en compte dans les projets de restauration écologique ? Résultats d'une synthèse bibliographique,True,A référencer
HAL,Buisson Elise,2024,How are insects considered in ecological restoration projects?,True,A référencer
HAL,Fadda Sylvain,2024,Consequences of the cessation of 3000 years of grazing on dry Mediterranean grassland ground-active beetle assemblages,True,A référencer
HAL,Fadda Sylvain,2024,Conservation of grassland patches failed to enhance colonization of ground-active beetles on formerly cultivated plots,True,A référencer
HAL,Dutoit Thierry,2024,"The status of transitions between cultivated fields and their boundaries: ecotones, ecoclines or edge effects?",True,A référencer
HAL,Buisson Elise,2024,Colonisation by native species of abandoned farmland adjacent to a remnant patch of Mediterranean steppe,True,A référencer
HAL,Halliez Guillaume,2024,"Appréhender l'histoire d'un site conservatoire, une opportunité pour le gestionnaire : pourquoi, où, quand, comment ?",True,A référencer
HAL,Dutoit Thierry,2024,Plant succession and conservation management of calcareous grasslands in Upper-Normandy,True,A référencer
HAL,Mahy Grégory,2024,"Origin, Conservation, and Restoration of the Threatened European Grassland Ecosystem in the Anthropocene",True,A référencer
HAL,Mahy Grégory,2024,"Editorial: Origin, conservation, and restoration of the threatened European grassland ecosystem in the Anthropocene",True,A référencer
HAL,Dutoit Thierry,2024,Utiliser des fourmis pour restaurer la nature ?,True,A référencer
HAL,Buisson Elise,2024,Ecological and habitat restoration for insect conservation,True,A référencer
HAL,Fontès Hugo,2024,The Distance to Reference Communities Index ( DRCI ): a new tool to assess communities' restoration success,True,A référencer
HAL,Saby Léa,2024,Restoring a Mediterranean grassland by replacing the natural stone cover and sowing the dominant grass,True,A référencer
HAL,Saby Léa,2024,"Restoring stone and dominant grass species cover in a Mediterranean grassland: 20‐year effects on soil, vegetation, and arthropod communities",True,A référencer
HAL,Mutillod Clémentine,2024,Ecological restoration and rewilding: two approaches with complementary goals?,True,A référencer
HAL,Mutillod Clémentine,2024,"Managed as wild, horses influence grassland vegetation differently than domestic herds",True,A référencer
HAL,Tardif Antoine,2024,Environmental drivers of plant diversity of chalk grasslands in north-western France,True,A référencer
