Nom_archive,Premier_auteur,Date de publication,Titre_unique,Sans_référencement,Present_in_HAL
HAL,Peres Thibaut,2025,Can we trust multispectral drone dataset for eLTER variables monitoring? Sensors sensibility and applications,True,A référencer
HAL,Peres Thibaut,2025,Can we trust multispectral drone datasets for eLTER variables monitoring? Sensors sensitivity and applications.,True,A référencer
HAL,von Hirschhausen Béatrice,2025,"Rapport de conjoncture 2025 - Section 39 Espaces, territoires, sociétés",True,A référencer
HAL,Díaz-Delgado Ricardo,2025,Mapping Soil Moisture Using Drones: Challenges and Opportunities,True,A référencer
HAL,Houet Thomas,2025,Shifting the remote sensing paradigm for monitoring the critical zone using drones,True,A référencer
HAL,Houet Thomas,2025,Co-constructing and simulating LUCC scenarios for evaluating the sustainability of environmental policies and helping the decision-making over the long term,True,A référencer
HAL,de la Brosse Augustin,2025,Apport de l'apprentissage profond semi-supervisé et de la télédétection par drones pour améliorer la modélisation de la distribution des insectes aquatiques émergents,True,A référencer
HAL,Lebreton Vincent,2025,Rapport de conjoncture 2024 de la Commission Interdisciplinaire (CID) 52 Environnement & Société : du Savoir à l'Action du Comité National de la Recherche Scientifique du CNRS,True,A référencer
HAL,Collin Antoine,2025,"Multiscale Mapping of the Salt Marshes Using Sentinel-2, Dove and UAV Imagery in the Bay of Mont-Saint-Michel",True,A référencer
HAL,Bertin Pascal,2025,"Cartographie d'essences forestières dans des peuplements en mélange par combinaison des données drones et satellites. Poster présenté à l'occasion des journées techniques des télépilotes INRAE (Col du Lautaret, 14-16 octobre 2024)",True,A référencer
HAL,Mimet Anne,2025,Assessing functional connectivity : a landscape approach for handling multiple ecological requirements,True,A référencer
HAL,Andrieux Benjamin,2024,Drone dataset from the ‘Hermitage’ heathland (Natura2000)– Canut valley,True,A référencer
HAL,Rigo Roberta,2024,Disseminating land use land cover change scenarios for improving the role of blue and green infrastructure: Evaluation and perspectives,True,A référencer
HAL,Thomas Houet,2024,How validating future LUCC based on scenario-based modeling approach?,True,A référencer
HAL,Houet Thomas,2024,"Past and future land use changes in an intensive agricultural Socioecological system: Scenarios, impacts and outcomes",True,A référencer
HAL,Houet Thomas,2024,Observation à distance,True,A référencer
HAL,Houet Thomas,2024,Apports des drones pour la gestion d'espaces naturels : Opportunités et perspectives,True,A référencer
HAL,Houet Thomas,2024,Projecting 2100 urban growth to assess urban climate changes on Toulouse urban area (France): combining forecasting/backcasting scenarios and land change models. Land Transformations: Between Global Challenges and Local Realities,True,A référencer
HAL,Collin Antoine,2024,"Improving Intertidal Reef Mapping Using UAV Surface, Red Edge, and Near-Infrared Data",True,A référencer
HAL,Fouqueray Timothée,2025,"Les échanges fonciers agricoles, levier pour la transition agroécologique de l’élevage ?",False,A référencer
ORCID,Thibaut Peres,2025.0,Can we trust multispectral drone datasets for eLTER variables monitoring? Sensors sensitivity and applications.,A déposer sur HAL,False
ORCID,Thomas Houet,2025.0,Co-constructing and simulating LUCC scenarios for evaluating the sustainability of environmental policies and supporting long-term decision-making,A déposer sur HAL,False
ORCID,Thomas Houet,2025.0,Shifting the remote sensing paradigm for monitoring the critical zone using drones,A déposer sur HAL,False
