Nom_archive,Premier_auteur,Date de publication,Titre_unique,Sans_référencement,Present_in_HAL
HAL,Malou O.P.,2025.0,Comment détecter les activités humaines dans les sols archéologiques intertropicaux ?,True,A référencer
HAL,Chevallier Tiphaine,2025.0,Contribution of inorganic carbon to CO2 emissions under a Mediterranean agroforestry system,True,A référencer
HAL,Bessou Cécile,2025.0,Les cycles de vie d'un écosystème,True,A référencer
HAL,Cardinael Rémi,2025.0,Organic carbon decomposition rates with depth and contribution of inorganic carbon to CO2 emissions under a Mediterranean agroforestry system,True,A référencer
HAL,Roupsard Olivier,2024.0,Monitoreo de servicios ecosistémicos en un observatorio de cafetales agroforestales. Recomendaciones para el sector cafetalero,True,A référencer
HAL,Chenu Claire,2024.0,"Storing additional carbon in soil: different practices, different stabilities of the organic matter?",True,A référencer
HAL,Akça Erhan,2024.0,The state of soils in Europe,True,A référencer
HAL,Loireau Maud,2024.0,Contribution des observatoires scientifiques à l’évaluation et au suivi de la séquestration du carbone atmosphérique,True,A référencer
HAL,Loireau Maud,2024.0,Un cadre d’analyse multi-critères des futurs projets GMV,True,A référencer
HAL,Fouché Julien,2024.0,Les stocks et la persistance du carbone organique des sols carbonatés viticoles méditerranéens sont controlés par la fraction argileuse,True,A référencer
HAL,Cardinael Rémi,2024.0,Organic carbon decomposition rates with depth under an agroforestry system in a calcareous soil,True,A référencer
HAL,Cardinael Rémi,2024.0,Spatial variation of earthworm communities and soil organic carbon in temperate agroforestry,True,A référencer
HAL,Kpemoua Tchodjowiè P.I.,2024.0,Drivers of the amount of organic carbon protected inside soil aggregates estimated by crushing: A meta-analysis,True,A référencer
HAL,Barthès Bernard G,2024.0,Quantifier le carbone organique du sol par spectroscopie infrarouge,True,A référencer
HAL,Courault Romain,2024.0,"Assessment of terrestrial carbon stocks from regional to agricultural landscapes using SMAP-L4 Carbon Net Ecosystem Exchange dataset: review and application (Maradi, Republic of Niger)",True,A référencer
HAL,Raous S.,2024.0,"L'exposition ""Sols fertiles, vies secrètes"" du Sénat, ses panneaux de sensibilisation, leurs déclinaisons, leur diffusion et leurs impacts",True,A référencer
HAL,Blaud A.,2024.0,Bacterial community structure in soil microaggregates and on particulate organic matter fractions located outside or inside soil macroaggregates,True,A référencer
ORCID,Dóra Zacháry,2025.0,Chemical characterization of particle size fractions of calcareous soils from Hungary,A déposer sur HAL,False
ORCID,Gergely Jakab,2025.0,The role of (in)organic carbon removal as a pretreatment in the 13C isotope composition of various soils,A déposer sur HAL,False
