Nom_archive,Premier_auteur,Date de publication,Titre_unique,Sans_référencement,Present_in_HAL
HAL,Regaieg Omar,2025,DART-based temporal and spatial retrievals of solar-induced chlorophyll fluorescence quantum efficiency from in-situ and airborne crop observations,True,A référencer
HAL,Favaro Zoé,2025,Experimenting with farmers: understanding perceptions and assessing agro-environmental performance of occitan cereal systems through modelling,True,A référencer
HAL,Le Dantec Valerie,2025,Echanges carbonés et hydriques d’écosystèmes sous différentes conditions pédo-climatiques : des zones tempérées aux régions semi-arides.,True,A référencer
HAL,Albert Cécile H.,2025,Prospective SIC 2023 Document de synthèse préliminaire des ateliers,True,A référencer
HAL,Démoulin Romain,2025,Hyperspectral remote sensing and 3D radiative transfer modelling for maize crop monitoring,True,A référencer
HAL,Ayrault Sophie,2025,PROSPECTIVE - Surfaces et interfaces continentales 2024-2028,True,A référencer
HAL,Démoulin Romain,2025,Consideration of Canopy Architecture at different Growth stages For Crop Monitoring with Hyperspectral Remote Sensing: A Case Study for Maize,True,A référencer
HAL,Rafi Zoubair,2024,Proxy detection of wheat water stress from photochemical reflectance index and land surface temperature data,True,A référencer
HAL,Chebbi Wafa,2024,Modelling of water and energy exchanges over a sparse olive orchard in semi-arid areas,True,A référencer
ORCID,Adnane Chakir,2024.0,Analysis of C-Band Radar Temporal Coherence Over an Irrigated Olive Orchard in a Semi-Arid Region,A déposer sur HAL,False
