Nom_archive,Premier_auteur,Date de publication,Titre_unique,Sans_référencement,Present_in_HAL
HAL,Baveye Philippe,2025,Lessons from a landmark 1991 article on soil structure: distinct precedence of non-destructive assessment and benefits of fresh perspectives in soil research,True,A référencer
HAL,Chirol Clémentine,2025,Effect of texture and management practices on soil structure dynamics and organic matter deprotection during drying-rewetting cycles,True,A référencer
HAL,Chirol Clémentine,2025,Effect of agricultural management practices on soil structural stability and organic matter deprotection during drying-rewetting cycles,True,A référencer
HAL,Chirol Clémentine,2025,Effect of agricultural practices on soil structural stability and organic matter deprotection during drying-rewetting cycles,True,A référencer
HAL,Chirol Clémentine,2025,Effect of agricultural management practices on soil structural stability and organic matter deprotection during drying-rewetting cycles,True,A référencer
HAL,Chirol Clémentine,2025,Effet des pratiques agricoles sur la stabilité structurale des sols et la déprotection des matières organiques lors de cycles de dessiccation-réhumectation,True,A référencer
HAL,Benoit Pierre,2025,Réduction des usages et des pertes en pesticides en agriculture de conservation : connaissances disponibles et perspectives de recherche,True,A référencer
HAL,Belghali Zakaria,2025,Computational microbiology of soil organic matter mineralization: Use of the concept of curve skeleton to partition the 3D pore space in computed tomography images,True,A référencer
HAL,Cueff Sixtine,2024,Water and pesticide transfers in undisturbed soil columns sampled from a Stagnic Luvisol and a Vermic Umbrisol both cultivated under conventional and conservation agriculture,True,A référencer
HAL,Marín-Benito Jesús M,2024,Pesticide fate modelling in conservation tillage: Simulating the effect of mulch and cover crop on S-metolachlor leaching,True,A référencer
HAL,Mamy Laure,2024,Measurement and modelling of water flows and pesticide leaching under low input cropping systems,True,A référencer
HAL,Benoit Pierre,2024,Reducing herbicide uses and losses in conservation agriculture – available knowledge and perspectives for weed control,True,A référencer
HAL,Chenu Claire,2024,The interplay of soil spatial heterogeneity and water in stabilizing and destabilizing soil organic matter,True,A référencer
HAL,Pot Valérie,2024,Computer simulation of the activity of bacteria in soils: role of soil architecture,True,A référencer
HAL,Pot Valérie,2024,Towards a quantification of the interactions between soil architecture and microbial dynamics under a dynamical soil architecture,True,A référencer
HAL,Kravchenko Alexandra,2025,Soil aggregates as biogeochemical reactors: Not a way forward in the research on soil‐atmosphere exchange of greenhouse gases,True,A référencer
