Nom_archive,Premier_auteur,Date de publication,Titre_unique,Sans_référencement,Present_in_HAL
HAL,Dorioz Jean Marcel,2025,Les grands lacs à l'épreuve de l'Anthropocène,True,A référencer
HAL,Tran Khac Viet,2025,Validation et optimisation d'une sonde de mesure de CO2 dissous à bas coût pour les milieux aquatiques,True,A référencer
HAL,Desgué-Itier Olivia,2024,Toward long-term modelling of the thermal regime and oxygen solubility of perialpine lakes,True,A référencer
HAL,Desgué-Itier Olivia,2024,Hindcast/forecast of thermal regime and oxygen solubility in four perialpine lakes using 1D model and OLA observatory data,True,A référencer
HAL,Chiapusio Genevieve,2025,La quantification des métabolites,True,A référencer
HAL,Rimet Frédéric,2024,The Observatory on LAkes (OLA) database: Sixty years of environmental data accessible to the public,True,A référencer
HAL,TRAN KHAC Viet,2024,ÉVOLUTION PHYSICO-CHIMIQUE DES EAUX DU LÉMAN ET DONNÉES MÉTÉOROLOGIQUES,True,A référencer
HAL,TRAN KHAC Viet,2024,ÉVOLUTION PHYSICO‐CHIMIQUE DES EAUX DU LÉMAN ET DONNÉES MÉTÉOROLOGIQUES,True,A référencer
HAL,TRAN KHAC Viet,2024,ÉVOLUTION PHYSICO-CHIMIQUE DES EAUX DU LÉMAN ET DONNÉES MÉTÉOROLOGIQUES,True,A référencer
HAL,TRAN KHAC Viet,2024,ÉVOLUTION PHYSICO‐CHIMIQUE DES EAUX DU LÉMAN ET DONNÉES MÉTÉOROLOGIQUES,True,A référencer
HAL,Frossard Victor,2024,Suivi de la qualité écologique du lac d’Annecy pour l'année 2021,True,A référencer
HAL,Jacquet Stéphan,2024,Résumé du suivi environnemental des eaux du lac du Bourget pour l’année 2019 et sur le long terme,True,A référencer
HAL,Jacquet Stéphan,2024,Suivi environnemental des eaux du lac du Bourget pour l’année 2019,True,A référencer
HAL,Frossard Victor,2024,Suivi de la qualité des eaux du lac d’Annecy pour l'année 2020,True,A référencer
HAL,Frossard Victor,2024,Suivi de la qualité écologique du lac d’Annecy pour l'année 2022,True,A référencer
HAL,Soares Laura,2024,Prospective des effets du changement climatique sur le lac d’Annecy : Tendances et défis à venir concernant les services rendus,True,A référencer
HAL,Jenny Jean-Philippe,2024,Suivi environnemental des eaux du lac du Bourget pour l’année 2023,True,A référencer
HAL,Jacquet Stéphan,2024,Suivi environnemental des eaux du lac du Bourget pour l’année 2020,True,A référencer
HAL,Jacquet Stéphan,2024,Synthèse du suivi environnemental des eaux du lac du Bourget pour l’année 2022,True,A référencer
HAL,Frossard Victor,2024,Suivi de la qualité écologique du lac d’Annecy pour l'année 2023,True,A référencer
HAL,Jacquet Stéphan,2024,Suivi environnemental des eaux du lac du Bourget pour l’année 2022,True,A référencer
HAL,Jacquet Stéphan,2024,Suivi environnemental des eaux du lac du Bourget pour l’année 2021,True,A référencer
HAL,Jacquet Stéphan,2024,Suivi environnemental des eaux du lac du Bourget pour l’année 2020,True,A référencer
HAL,Rasconi Serena,2024,Suivi de la qualité des eaux du lac d’Aiguebelette - Campagne 2023,True,A référencer
HAL,Rimet Frédéric,2024,The Observatory on LAkes (OLA) database: Sixty years of environmental data accessible to the public,True,A référencer
HAL,Irani Rahaghi Abolfazl,2024,Combined Earth observations reveal the sequence of conditions leading to a large algal bloom in Lake Geneva,True,A référencer
