Nom_archive,Premier_auteur,Date de publication,Titre_unique,Sans_référencement,Present_in_HAL
HAL,Demenois Julien,2025.0,Séquestration du carbone dans le sol : une solution pour atténuer le changement climatique et s'y adapter ?,True,A référencer
HAL,Corrêa D.C.C.,2025.0,Energy and greenhouse gas emissions: tools to discuss susta inability of livestock systems in Amazon,True,A référencer
HAL,Le Bourgeois Thomas,2025.0,Nouvelle ergonomie et nouvelles fonctionnalités sur le portail Wiktrop : Quels apports pour les utilisateurs,True,A référencer
HAL,Bastianelli Denis,2025.0,L'élevage. Le diagnostic des systèmes d'alimentation,True,A référencer
HAL,Blanfort Vincent,2025.0,Les systèmes agricoles et alimentaires face au changement climatique,True,A référencer
HAL,Ickowicz Alexandre,2025.0,Multifonctionnalité et diversité des systèmes d'élevage pâturant au service de systèmes alimentaires durables dans le monde : Y a-t-il des leçons à retenir pour l'Europe ?,True,A référencer
HAL,Blanfort Vincent,2025.0,"Changements climatiques et agriculture : quels enjeux, quels impacts aujourd'hui et demain ?",True,A référencer
HAL,Blanfort Vincent,2025.0,L'agriculture et les systèmes alimentaires du monde face au changement climatique. Enjeux pour les Suds,True,A référencer
HAL,Blanfort Vincent,2025.0,Atlas des agricultures du monde et des systèmes alimentaires face au changement climatique,True,A référencer
HAL,Hequet Vanessa,2025.0,Les espèces exotiques envahissantes de Nouvelle-Calédonie,True,A référencer
HAL,Chekhurska Olga,2024.0,Recueil de projets d'expertise internationale à INRAE. Tome 2,True,A référencer
HAL,de Garine-Wichatitsky Michel,2024.0,Altération de la biodiversité terrestre des îles françaises du Pacifique: effets de l’anthropisation et des invasions biologiques,True,A référencer
HAL,Ickowicz Alexandre,2024.0,Multifunctionality and diversity of livestock grazing systems for sustainable food systems throughout the world: what can we learn for Europe?,True,A référencer
HAL,Idrissou Yaya,2024.0,"Integrated crop-livestock effects on soil carbon sequestration in Benin, West Africa",True,A référencer
HAL,Blanfort Vincent,2024.0,Efficiency to account for the complexity of the contributions of livestock grazing systems to climate change,True,A référencer
HAL,Vayssières Jonathan,2024.0,"The quest for efficiency, an approach to increase the contribution of livestock farming to the sustainable development of territories",True,A référencer
HAL,Pons Suzanne,2024.0,Agriculture : stockage de carbone et impact des pratiques,True,A référencer
HAL,Favale Cassandra,2024.0,"Degradation of Amazonian grasslands by weeds, how to managing this situation?",True,A référencer
