Nom_archive,Premier_auteur,Date de publication,Titre_unique,Sans_référencement,Present_in_HAL
HAL,de la Fuente Carla,2025.0,Glutaredoxin regulation of primary root growth is associated with early drought stress tolerance in pearl millet,True,A référencer
HAL,Grégoire Laura,2025.0,Transpiration efficiency variations in the pearl millet reference collection PMiGAP,True,A référencer
HAL,Vadez Vincent,2025.0,Publisher Correction: Crop traits and production under drought,True,A référencer
HAL,Audebert Alain,2024.0,Toward a regional field phenotyping network in West Africa,True,A référencer
HAL,Dolinska Aleksandra,2024.0,Co-production opportunities seized and missed in decision-support frameworks for climate-change adaptation in agriculture – How do we practice the “best practice”?,True,A référencer
ORCID,Wenli Xue,2025.0,Identifying phenotypic markers explaining positive sorghum response to sowing density using 3D-imaging,A déposer sur HAL,False
ORCID,"Xue, W.",2025.0,Identifying phenotypic markers explaining positive sorghum response to sowing density using 3D-imaging,A déposer sur HAL,False
ORCID,"Vadez, V.",2025.0,"Correction to: Crop traits and production under drought (Nature Reviews Earth &amp; Environment, (2024), 5, 3, (211-225), 10.1038/s43017-023-00514-w)",A déposer sur HAL,False
ORCID,"Diancoumba, Madina",2024.0,APSIM-based modeling approach to understand sorghum production environments in Mali,A déposer sur HAL,False
ORCID,"Diancoumba, M.",2024.0,APSIM-based modeling approach to understand sorghum production environments in Mali,A déposer sur HAL,False
ORCID,"Bonatti, M.",2024.0,"Correction to: Global analysis of social learning’s archetypes in natural resource management: understanding pathways of co-creation of knowledge (Humanities and Social Sciences Communications, (2024), 11, 1, (1161), 10.1057/s41599-024-03590-5)",A déposer sur HAL,False
ORCID,"Garba, H.",2024.0,"Effect of vapor pressure deficit on growth and yield of pearl millet germplasm originating from semi-arid, semi-humid and humid regions",A déposer sur HAL,False
ORCID,"Joshi, Pushpesh",2024.0,Genome-Wide Mapping of Quantitative Trait Loci for Yield-Attributing Traits of Peanut,A déposer sur HAL,False
ORCID,"Joshi, P.",2024.0,Genome-Wide Mapping of Quantitative Trait Loci for Yield-Attributing Traits of Peanut,A déposer sur HAL,False
ORCID,Pushpesh Joshi,2024.0,Genome-Wide Mapping of Quantitative Trait Loci for Yield-Attributing Traits of Peanut,A déposer sur HAL,False
ORCID,"Bonatti, M.",2024.0,Global analysis of social learning’s archetypes in natural resource management: understanding pathways of co-creation of knowledge,A déposer sur HAL,False
ORCID,"D’Agostini, F.",2024.0,Predicting plant water availability from phytolith assemblages: an experimental approach for archaeological reconstructions in drylands,A déposer sur HAL,False
