Nom_archive,Premier_auteur,Date de publication,Titre_unique,Sans_référencement,Present_in_HAL
HAL,Serôdio João,2025,Advances and Challenges in Microphytobenthos Research: From Cell Biology to Coastal Ecosystem Function,True,A référencer
HAL,Rybak Mateusz,2025,Marine and brackish Luticola D.G.Mann (Bacillariophyta) species from the Java Sea and South China Sea coasts with the description of three new species,True,A référencer
HAL,Román Alejandro,2025,Mapping intertidal microphytobenthic biomass with very high-resolution remote sensing imagery in an estuarine system,True,A référencer
HAL,Launeau Patrick,2024,Microphytobenthos Biomass and Diversity Mapping at Different Spatial Scales with a Hyperspectral Optical Model,True,A référencer
HAL,Kazemipour-Ricci Farzaneh,2024,Microphytobenthos biomass mapping using the optical model of diatom biofilms: Application to hyperspectral images of Bourgneuf Bay,True,A référencer
HAL,Meleder Vona,2024,"Changes in micro-algal pigment content and optical absorption cross section with growth irradiance, detected by hyperspectral radiometric analyses",True,A référencer
HAL,Kazemipour-Ricci Farzaneh,2024,Optical properties of microphytobenthic biofilms (MPBOM): Biomass retrieval implication,True,A référencer
HAL,Kazemipour-Ricci Farzaneh,2024,A new approach for microphytobenthos biomass mapping by inversion of simple radiative transfer model: application to Hyspex images of Bourgneuf Bay,True,A référencer
HAL,Moulin Cyril,2024,Prospective en sciences de la planète et de l’univers,True,A référencer
HAL,Arnaldo Mary Dianne Grace,2024,Comparison of different small-scale cultivation methods towards the valorization of a marine benthic diatom strain for lipid production,True,A référencer
HAL,Reddin Carl J,2024,Extensive spatial impacts of oyster reefs on an intertidal mudflat community via predator facilitation,True,A référencer
HAL,Jauffrais Thierry,2024,Functional xanthophyll cycle and pigment content of a kleptoplastic benthic foraminifer: Haynesina germanica,True,A référencer
HAL,Méléder Vona,2024,"Predictive modelling of seabed habitats: case study of subtidal kelp forests on the coast of Brittany, France",True,A référencer
HAL,Couzinet-Mossion Aurélie,2024,Benthic diatoms: how to grow to obtain bioactive lipids?.,True,A référencer
