Nom_archive,Premier_auteur,Date de publication,Titre_unique,Sans_référencement,Present_in_HAL
HAL,Girard Tom,2025,Pseudomonas brassicacearum-induced biotite weathering: Role of iron homeostasis and two siderophores,True,A référencer
HAL,Wagon Sarah,2025,Stimulating the plant-microorganism-mineral continuum to store carbon in soils: focus on the stabilization of root exudates,True,A référencer
HAL,Girard Tom,2025,Pseudomonas brassicacearum siderophores as mineral weathering agents: potential for plant nutritional benefits and carbon sequestration,True,A référencer
HAL,Persello-Cartieaux Fabienne,2025,Utilization of mutants to analyze the interaction between Arabidopsis thaliana and its naturally root-associated Pseudomonas,True,A référencer
HAL,Achouak Wafa,2024,Extraction and Purification of Outer Membrane Vesicles and Their Associated RNAs,True,A référencer
HAL,Redouane El Mahdi,2024,Microcystin influence on soil-plant microbiota: Unraveling microbiota modulations and assembly processes in the rhizosphere of Vicia faba,True,A référencer
HAL,Pandey Sarita,2024,"Insights into Bacterial Extracellular Vesicle Biogenesis, Functions, and Implications in Plant–Microbe Interactions",True,A référencer
HAL,Turbant Florian,2024,Use of Synchrotron Radiation Circular Dichroism to Analyze the Interaction and Insertion of Proteins into Bacterial Outer Membrane Vesicles,True,A référencer
HAL,Matthijs Sandra,2024,Pyoverdine and histicorrugatin-mediated iron acquisition in Pseudomonas thivervalensis,True,A référencer
ORCID,Wafa Achouak,2025.0,"Land Use and Plant Genotype Modulate Rhizosheath Traits, Root-Associated Microbiota, and Soil Carbon Sequestration Potential",A déposer sur HAL,False
ORCID,Gilles De Luca,2025.0,The Bacterial Genus Ramlibacter: Betaproteobacteria Capable of Surviving in Oligotrophic Environments Thanks to Several Shared Genetic Adaptation Traits,A déposer sur HAL,False
ORCID,Sarita Pandey,2024.0,Unveiling the Hidden Messengers: Exploring the Role of Extracellular Vesicles in Plant-Microbe Interactions,A déposer sur HAL,False
