Nom_archive,Premier_auteur,Date de publication,Titre_unique,Sans_référencement,Present_in_HAL
HAL,Bertrand Romain,2025,The biodiversity effect on forest productivity in the face of climate change depends on tree density,True,A référencer
HAL,Cailleret Maxime,2025,"Éclaircir, mélanger les espèces, utiliser la migration assistée: Une évaluation de trois leviers de gestion pour adapter le pin d'Alep et le chêne vert aux sécheresses",True,A référencer
HAL,Rouet Camille,2025,PDG Light : Un modèle basé sur les processus écophysiologiques et simulant les interactions entre arbres en mélange forestier,True,A référencer
HAL,Gribaudo Simona,2025,Self-organizing models of human trunk organogenesis recapitulate spinal cord and spine co-morphogenesis,True,A référencer
HAL,Devresse Louis,2025,Evolutionary rescue in a mixed beech–fir forest: insights from a quantitative‐genetics approach in a process‐based model,True,A référencer
HAL,Didion-Gency Margaux,2025,Interactive effects of tree species mixture and climate on foliar and woody trait variation in a widely distributed deciduous tree,True,A référencer
HAL,Devresse Louis,2025,Evolutionary rescue in a mixed beech-fir forest: insights from a quantitative-genetics approach in a process-based model,True,A référencer
HAL,Rouet Camille,2025,PDG-Arena: an ecophysiological model for characterizing tree-tree interactions in heterogeneous and mixed stands,True,A référencer
HAL,Vospernik Sonja,2025,Can mixing Quercus robur and Quercus petraea with Pinus sylvestris compensate for productivity losses due to climate change?,True,A référencer
HAL,Paneghel Mara,2025,Increasing temperature threatens post‐fire auto‐successional dynamics of a Mediterranean obligate seeder,True,A référencer
HAL,Morin Xavier,2025,Impact des changements globaux sur la biodiversité et le fonctionnement des écosystèmes forestiers,True,A référencer
HAL,Carme Marion,2025,Projections comparées de la répartition et de la croissance du Chêne pubescent face au changement climatique : apports et limites de la modélisation,True,A référencer
HAL,Auraix-Jonchière Pascale,2025,Abécédaire de la forêt,True,A référencer
HAL,Florian Bayle,2024,CONstruire en BOis avec les forêts de demain (CONBO): relations entre trajectoires de croissance et comportement mécanique des feuillus secondaires,True,A référencer
HAL,Gribaudo Simona,2024,Self-organizing models of human trunk organogenesis recapitulate spinal cord and spine co-morphogenesis,True,A référencer
HAL,Hajji Lina El,2024,A tunable and versatile chemogenetic near infrared fluorescent reporter,True,A référencer
HAL,Bunel Benjamin,2024,Uneven mitochondrial segregation during embryonic neurogenesis,True,A référencer
HAL,Grünig Marc,2024,A harmonized database of European forest simulations under climate change,True,A référencer
HAL,Díaz‐yáñez Olalla,2024,Tree regeneration in models of forest dynamics: A key priority for further researc,True,A référencer
HAL,Therville Clara,2024,Social-ecological modelling as a boundary object to implement inter- and transdisciplinary approaches of forests in transitions,True,A référencer
HAL,Cateau Eugénie,2024,Tree inventory data from permanent plots in F rench forest reserves,True,A référencer
HAL,Morin Xavier,2024,Variation in cold hardiness and carbohydrate concentration from dormancy induction to bud burst among provenances of three European oak species,True,A référencer
HAL,Jourdan Marion,2025,"Tree diversity and the temporal stability of mountain forest productivity: testing the effect of species composition, through asynchrony and overyielding",True,A référencer
ORCID,Benjamin Bunel,2024.0,Unequal mitochondrial segregation promotes asymmetric fates during neurogenesis,A déposer sur HAL,False
ORCID,Baptiste Mida,2024.0,A low-level Cdkn1c/p57kip2expression in spinal progenitors drives the transition from proliferative to neurogenic modes of division,A déposer sur HAL,False
ORCID,Alciades Petit Vargas,2024.0,CRISPR/Cas9-based somatic knock-in of reporters in the avian embryo in ovo,A déposer sur HAL,False
