Nom_archive,Premier_auteur,Date de publication,Titre_unique,Sans_référencement,Present_in_HAL
HAL,Copard Yoann,2025,Soil Carbon Dynamics Reshaped by Ancient Carbon Quantification,True,A référencer
HAL,Barrois Jean-Marie,2025,Contaminant storage in depositional environments induced by river engineering in the upper Seine Estuary (France),True,A référencer
HAL,da Costa Claire,2025,Shifts in sediment bacterial communities reflect changes in depositional environments in a fluviatile context,True,A référencer
HAL,Bunel Raphaël,2025,Generation of realistic synthetic catchments to explore fine continental surface processes,True,A référencer
HAL,Ricard Clémentine,2025,Influence of mineral and organic matrices on the thermal characterization of microplastics,True,A référencer
HAL,Maquaire Olivier,2025,Contexte général : données physiographiques,True,A référencer
HAL,Ayrault Sophie,2025,PROSPECTIVE - Surfaces et interfaces continentales 2024-2028,True,A référencer
HAL,Gardes Thomas,2025,Trajectories of legacy and emerging metal contaminants in French river sediments,True,A référencer
HAL,Moulin Cyril,2024,Prospective en sciences de la planète et de l’univers,True,A référencer
ORCID,Raphaël Bunel,2025.0,"Impact of vegetation cover on hydro-sedimentary fluxes in the marly badlands of the Southern Alps (Draix-Bléone Critical Zone Observatory, SE France)",A déposer sur HAL,False
