name,global_id,entrepot,parent,Date_Création,Date_Update,Mots_clés,Sujet,Auteurs,Publication,PersistentUrl
OPTMix tree budburst dates,doi:10.57745/IVWMIR,TEMPO,inrae://10.57745/IVWMIR,2023-10-24T11:17:05Z,2025-01-31T08:47:05Z,"['Phenology', 'Budburst date', 'Leaf unfolding', 'Quercus petraea', 'Pinus sylvestris', 'OPTMix', 'TEMPO']",['Earth and Environmental Sciences'],"['PEROT Thomas', 'COUTEAU Camille', 'KARA Aviva', 'PERRET Sandrine']",,https://doi.org/10.57745/IVWMIR
One‐step synthesis of spin crossover nanoparticles using flow chemistry and supercritical CO2,doi:10.57745/PM55G5,ICMCB,espace-generique://10.57745/PM55G5,2023-01-11T16:26:25Z,2023-02-13T10:27:23Z,"['X ray diffraction', 'Particle size distribution', 'Transmission electron microscopy', 'Magnetism']","['Chemistry', 'Physics']","['Daro, Nathalie', 'Chastanet, Guillaume', 'Marre, Samuel', 'Aymonier, Cyril', 'Vaudel, Tony', 'Afindouli, Luc']",,https://doi.org/10.57745/PM55G5
Dataset of a laboratory experiment on the effect of the storage capacity of a city block on unsteady urban floodwaters,doi:10.57745/BFHGO3,Experimental - Observation - Simulation,inrae://10.57745/BFHGO3,2022-12-02T09:50:43Z,2023-02-15T14:13:05Z,"['Urban flooding', 'LSPIV', 'Flood risk', 'Unsteady flow']","['Earth and Environmental Sciences', 'Physics']","['Mejía-Morales, Miguel Angel', 'Mignot, Emmanuel', 'Paquier, André', 'Proust, Sébastien']",,https://doi.org/10.57745/BFHGO3
"Data, R scripts and ASReml scripts",doi:10.57745/HUQOXW,EchoGrasPoule,inrae://10.57745/HUQOXW,2023-01-16T15:18:30Z,2023-12-18T10:57:08Z,"['variance components', 'body composition', 'body reserves', 'BackFat Thickness', 'Tomography', 'Ultrasonography', 'adipokines', 'laying hens']",['Agricultural Sciences'],"['BEDERE, Nicolas']","['INRAE Pôle d’Expérimentation Avicole de Tours (UE PEAT, Nouzilly, France ; https://doi.org/10.15454/1.5572326250887292E12)']",https://doi.org/10.57745/HUQOXW
Photos of large plastic fragments sampled during the composting experiment and identified by FTIR,doi:10.57745/XAASRZ,Full-scale composting experiment of compostable packaging,upsaclay://10.57745/XAASRZ,2024-08-02T13:01:38Z,2024-08-27T07:26:32Z,"['packaging material', 'biodegradable packaging']","['Chemistry', 'Earth and Environmental Sciences', 'Engineering', 'Agricultural Sciences']","['DOMENEK-AICHERNIG, Sandra', 'BUENDIA, Felipe', 'GASTALDI, Emmanuelle']",,https://doi.org/10.57745/XAASRZ
3D digital image correlation of soft impact test on composite plates,doi:10.57745/UA1CRZ,Espace Générique,espace-generique://10.57745/UA1CRZ,2023-10-12T14:40:39Z,2023-10-31T08:41:35Z,"['Composite materials', 'Impact testing', 'digital image treatment']",['Engineering'],"['Dorival, Olivier', 'Navarro, Pablo', 'Marguet, Steven', 'Ferrero, Jean-François']",,https://doi.org/10.57745/UA1CRZ
Hydroacoustic amplitude and velocity data,doi:10.57745/KRY5DX,RIVERLY,inrae://10.57745/KRY5DX,2024-03-07T14:25:06Z,2024-03-12T14:48:21Z,,['Earth and Environmental Sciences'],"['Marggraf, Jessica', 'Le Coz, Jérôme', 'Camenen, Benoît', 'Lauters, Francois', 'Dramais, Guillaume', 'Pierrefeu, Gilles', 'Topping, David']",,https://doi.org/10.57745/KRY5DX
"Données de réplication pour : Garbage in, garbage out: An industrial perspective on drug absorption modeling",doi:10.57745/ANHVUS,Laboratory of Chemoinformatics,univ-strasbourg://10.57745/ANHVUS,2025-03-03T08:49:48Z,2025-05-14T14:38:23Z,"['drug effects', 'Pharmacokinetics', 'QSPR model']",['Chemistry'],"['LLOMPART, Pierre', 'MINOLETTI, Claire', 'MARCOU, Gilles', 'VARNEK, Alexandre']",['ChEMBL (https://www.ebi.ac.uk/chembl/ consulted the 28/02/2025) OChem (https://ochem.eu/ consulted the 28/02/2025)'],https://doi.org/10.57745/ANHVUS
Projections hydrologiques Explore2 du débit pour le modèle GRSD sous RCP 2.6,doi:10.57745/M94DWV,Explore2 - Projections hydrologiques,inrae://10.57745/M94DWV,2025-03-24T11:17:49Z,2025-04-04T13:56:44Z,"['hydrology', 'hydrological model', 'hydrological projection', 'climate change impacts']",['Earth and Environmental Sciences'],"['Guillaume, Thirel', 'Charles, Perrin', 'Laurent, Strohmenger']",,https://doi.org/10.57745/M94DWV
Projections hydrologiques Explore2 du débit pour le modèle SMASH sous RCP 2.6,doi:10.57745/UEIJI8,Explore2 - Projections hydrologiques,inrae://10.57745/UEIJI8,2025-03-24T11:17:55Z,2025-04-04T13:56:44Z,"['hydrology', 'hydrological model', 'hydrological projection', 'climate change impacts']",['Earth and Environmental Sciences'],"['Patrick, Arnaud', 'François, Colléoni', 'Pierre-André, Garambois']",,https://doi.org/10.57745/UEIJI8
"B-spline Dataset of ""B-spline Curve Approximation With Transformer Neural Networks""",doi:10.57745/O7RCHI,LGIPM,univ-lorraine://10.57745/O7RCHI,2025-03-28T14:37:19Z,2025-04-11T07:12:07Z,"['spline', 'random allocation', 'geometry', 'approximation (mathematics)', 'machine learning', 'deep learning', 'dataset']",['Computer and Information Science'],"['Saillot, Mathis']",,https://doi.org/10.57745/O7RCHI
Analysis of volatile compounds production kinetics : a study of the impact of nitrogen addition and temperature during alcoholic fermentation,doi:10.57745/MUFRM9,UMR SPO,inrae://10.57745/MUFRM9,2022-10-20T07:53:24Z,2022-11-16T10:56:11Z,"['Alcoholic fermentation', 'Wine', 'Nitrogen additions', 'Temperature', 'Fermentative aromas', 'Statistical modeling']","['Engineering', 'Mathematical Sciences', 'Other']","['GODILLOT, Joséphine', 'SANCHEZ, Isabelle', 'BARAGATTI, Meili']",,https://doi.org/10.57745/MUFRM9
PARASOL_PROJECT_INRAE_THEIX,doi:10.57745/ISGTTK,Data INRAE,inrae://10.57745/ISGTTK,2023-07-12T15:21:36Z,2025-04-11T15:42:45Z,,['Agricultural Sciences'],"['Ginane, Cécile']",,https://doi.org/10.57745/ISGTTK
Retour d’expérience technique de la crue du  2 octobre 2020 dans la vallée de la Vésubie - Volet torrentiel,doi:10.57745/UGJZWT,Storm Alex (Oct. 2020) - south east France,inrae://10.57745/UGJZWT,2023-10-05T13:41:59Z,2023-10-05T14:18:12Z,,['Earth and Environmental Sciences'],"['ONF-RTM', 'ONF-DRN', 'INRAE-ETNA']",,https://doi.org/10.57745/UGJZWT
Pictures of Aleurocanthus spiniferus from French outbreak in 2023,doi:10.57745/WOHBMY,Data INRAE,inrae://10.57745/WOHBMY,2023-10-12T10:28:39Z,2023-10-12T13:01:00Z,,['Agricultural Sciences'],"['Rossi, Jean-Pierre', 'Jean-Claude Streito']",,https://doi.org/10.57745/WOHBMY
Supplementary Tables for the Thesis of Baptiste Imbert,doi:10.57745/8SWZI6,pôle LEGae,inrae://10.57745/8SWZI6,2024-10-17T19:30:13Z,2025-02-19T11:58:23Z,"['cold tolerance', 'grain legumes', 'comparative genomics', 'quantitative trait locus', 'graph database']","['Computer and Information Science', 'Agricultural Sciences']","['IMBERT, BAPTISTE']",,https://doi.org/10.57745/8SWZI6
"Data from article entitled ""Electroisomerization Blinking of an Azobenzene Derivative Molecule""",doi:10.57745/E2GOOP,IEMN,univ-lille://10.57745/E2GOOP,2025-01-16T10:39:00Z,2025-01-28T13:56:31Z,"['electroisomerization', 'STM', 'azobenzene', 'blinking']",['Physics'],"['LENFANT, Stephane']",,https://doi.org/10.57745/E2GOOP
Fiches incertitudes des modèles hydrologiques de surface du projet Explore2 : G Fleuves côtiers haut normands,doi:10.57745/057IQD,Explore2 - Fiches synthèses,inrae://10.57745/057IQD,2024-11-30T17:56:37Z,2024-12-03T17:50:12Z,"['fiche incertitudes', 'synthèse graphique', 'incertitudes', 'modélisation hydrologique', 'changement climatique', 'adaptation au changement climatique', 'atténuation du changement climatique']",['Earth and Environmental Sciences'],"['Évin, Guillaume']",,https://doi.org/10.57745/057IQD
Projections hydrologiques Explore2 du débit pour le modèle J2000 sous RCP 2.6,doi:10.57745/9QQBUU,Explore2 - Projections hydrologiques,inrae://10.57745/9QQBUU,2025-03-24T11:17:50Z,2025-04-04T13:59:13Z,"['hydrology', 'hydrological model', 'hydrological projection', 'climate change impacts']",['Earth and Environmental Sciences'],"['Flora, Branger', 'Jérémie, Bonneau', 'Louise, Mimeau']",,https://doi.org/10.57745/9QQBUU
Projections hydrologiques Explore2 du débit pour le modèle MORDOR-SD sous RCP 2.6,doi:10.57745/WINR1S,Explore2 - Projections hydrologiques,inrae://10.57745/WINR1S,2025-03-24T11:17:51Z,2025-04-04T13:58:16Z,"['hydrology', 'hydrological model', 'hydrological projection', 'climate change impacts']",['Earth and Environmental Sciences'],"['Matthieu, Le Lay', 'Joël, Gailhard']",,https://doi.org/10.57745/WINR1S
Projections hydrologiques Explore2 du débit pour le modèle MORDOR-TS sous RCP 2.6,doi:10.57745/RMOMGU,Explore2 - Projections hydrologiques,inrae://10.57745/RMOMGU,2025-03-24T11:17:52Z,2025-04-04T13:58:32Z,"['hydrology', 'hydrological model', 'hydrological projection', 'climate change impacts']",['Earth and Environmental Sciences'],"['Céline, Monteil', 'Frédéric, Hendrickx']",,https://doi.org/10.57745/RMOMGU
Metametha dataset,doi:10.15454/5MOZKJ,UR SOLS,inrae://10.15454/5MOZKJ,2019-12-12T16:27:26Z,2025-04-08T13:35:53Z,"['methanation', 'nitrogen volatilisation', 'exogenous organic matter', 'methanisation', 'digestate', 'organic fertilisation', 'ammonia', 'nitrous oxide', 'fertilizer efficiency', 'N cycling']",['Earth and Environmental Sciences'],"['Pasquier, Catherine', 'Ayzac, Adeline', 'Carozzi, Marco', 'Génermont, Sophie', 'Giot, Guillaume', 'Goubard-Delaunay Yolaine', 'Houot, Sabine', 'Moinard, Victor', 'Voylokov, Polina', 'Savoie, Antoine']",,https://doi.org/10.15454/5MOZKJ
