Nom_archive,Titre_unique,global_id,entrepot,parent,Date_Création,Date_Update,Mots_clés,Sujet,Auteurs,Sources,Type de document,PersistentUrl,DOI sources,Contacts_trouvés,Auteur_recherché,projet,Value,Date de publication
Recherche Data Gouv,Documentation Système d'Information IN-SYLVA France,doi:10.15454/ELXRGY,Logiciels et Systèmes d'Information,inrae://10.15454/ELXRGY,2020-10-02T15:31:47Z,2025-04-18 15:44:26+00:00,"['genetic resource', 'computer science', 'forest product', 'forest', 'information management', 'ecology', 'biodiversity']","['Agricultural Sciences', 'Computer and Information Science', 'Earth and Environmental Sciences', 'Medicine, Health and Life Sciences']","['Pichot, Christian', 'Clastre, Philippe', 'Fiocca, Amélie', 'Evtimova, Mariya', 'Jaillet, Benjamin', 'Ozcan, Aytac', 'Benard, Alain', 'Benedet, Fabrice', 'Bouvet, Alain', 'Cailly, Priscilla', 'Courbet, François', 'Deleuze, Christine', 'Ginisty, Christian', 'Herault, Bruno', 'Maurice, Damien', 'Meredieu, Celine', 'Michotey, Celia', 'Mirlyaz, Wulfran', 'Orazio, Christophe', 'Paillassa, Eric', 'Perrier, Celine', 'Plinio Sist', 'Pozzi, Tiffani', 'Renaud, Jean-Pierre', 'Saint-Andre, Laurent', 'Said, Sonia', 'Christian Pichot', 'Philippe Clastre', 'Amélie Fiocca', 'Mariya Evtimova', 'Benjamin Jaillet', 'Aytac Ozcan', 'Alain Benard', 'Fabrice Benedet', 'Alain Bouvet', 'Priscilla Cailly', 'François Courbet', 'Christine Deleuze', 'Christian Ginisty', 'Bruno Herault', 'Damien Maurice', 'Celine Meredieu', 'Celia Michotey', 'Wulfran Mirlyaz', 'Christophe Orazio', 'Eric Paillassa', 'Celine Perrier', 'Sist Plinio', 'Tiffani Pozzi', 'Jean-Pierre Renaud', 'Laurent Saint-Andre', 'Sonia Said']","['https://hal.inrae.fr/hal-04955910v1', 'https://hal.inrae.fr/hal-03341438v1', 'https://hal.inrae.fr/hal-04188784v1']",dataset-rdg,https://doi.org/10.15454/ELXRGY,"['hal-04955910v1', 'hal-03341438v1', 'hal-04188784v1']",['Christian Pichot'],Christian Pichot,ALAMOD,1,2025
Recherche Data Gouv,Documentation Système d'Information IN-SYLVA France,doi:10.15454/ELXRGY,Logiciels et Systèmes d'Information,inrae://10.15454/ELXRGY,2020-10-02T15:31:47Z,2025-04-18 15:44:26+00:00,"['genetic resource', 'computer science', 'forest product', 'forest', 'information management', 'ecology', 'biodiversity']","['Agricultural Sciences', 'Computer and Information Science', 'Earth and Environmental Sciences', 'Medicine, Health and Life Sciences']","['Pichot, Christian', 'Clastre, Philippe', 'Fiocca, Amélie', 'Evtimova, Mariya', 'Jaillet, Benjamin', 'Ozcan, Aytac', 'Benard, Alain', 'Benedet, Fabrice', 'Bouvet, Alain', 'Cailly, Priscilla', 'Courbet, François', 'Deleuze, Christine', 'Ginisty, Christian', 'Herault, Bruno', 'Maurice, Damien', 'Meredieu, Celine', 'Michotey, Celia', 'Mirlyaz, Wulfran', 'Orazio, Christophe', 'Paillassa, Eric', 'Perrier, Celine', 'Plinio Sist', 'Pozzi, Tiffani', 'Renaud, Jean-Pierre', 'Saint-Andre, Laurent', 'Said, Sonia', 'Christian Pichot', 'Philippe Clastre', 'Amélie Fiocca', 'Mariya Evtimova', 'Benjamin Jaillet', 'Aytac Ozcan', 'Alain Benard', 'Fabrice Benedet', 'Alain Bouvet', 'Priscilla Cailly', 'François Courbet', 'Christine Deleuze', 'Christian Ginisty', 'Bruno Herault', 'Damien Maurice', 'Celine Meredieu', 'Celia Michotey', 'Wulfran Mirlyaz', 'Christophe Orazio', 'Eric Paillassa', 'Celine Perrier', 'Sist Plinio', 'Tiffani Pozzi', 'Jean-Pierre Renaud', 'Laurent Saint-Andre', 'Sonia Said']","['https://hal.inrae.fr/hal-04955910v1', 'https://hal.inrae.fr/hal-03341438v1', 'https://hal.inrae.fr/hal-04188784v1']",dataset-rdg,https://doi.org/10.15454/ELXRGY,"['hal-04955910v1', 'hal-03341438v1', 'hal-04188784v1']",['Christian Pichot'],Christian Pichot,Drought for C,1,2025
Recherche Data Gouv,Microfiltration itineraries annotated from the scientific litterature including both a heat treatment and a microfiltration unit operations,doi:10.15454/0ADYFY,atweb Dataverse,inrae://10.15454/0ADYFY,2020-11-24T14:08:56Z,2022-12-05 16:09:38+00:00,,"['Agricultural Sciences', 'Computer and Information Science']","['Buche, Patrice', 'Patrice Buche']","['https://doi.org/10.4018/IJAEIS.309136', 'https://doi.org/10.1016/j.dib.2021.107063']",dataset-rdg,https://doi.org/10.15454/0ADYFY,"['10.4018/IJAEIS.309136', '10.1016/j.dib.2021.107063']",['Patrice Buche'],Patrice Buche,SLAM-B,1,2022
Recherche Data Gouv,"Plankton, water temperature and orthophosphorus concentration from Lake Geneva (1974-2004)",doi:10.15454/XZWVM8,AnaEE-France Dataverse,inrae://10.15454/XZWVM8,2021-07-09T13:01:44Z,2021-07-31 13:16:24+00:00,"['Water temperature', 'Orthophosphorus', 'Zooplankton', 'Lake Geneva']",['Earth and Environmental Sciences'],"['Frédéric Rimet', 'Viet Tran-Khac', 'Leslie Lainé', 'Rimet Frédéric', 'Tran-Khac Viet', 'Lainé Leslie']",[],dataset-rdg,https://doi.org/10.15454/XZWVM8,[''],['Viet Tran-Khac'],Viet Tran-Khac,CarboNium,1,2021
Recherche Data Gouv,"Plankton, water temperature and orthophosphorus concentration from Lake Geneva (1974-2004)",doi:10.15454/XZWVM8,AnaEE-France Dataverse,inrae://10.15454/XZWVM8,2021-07-09T13:01:44Z,2021-07-31 13:16:24+00:00,"['Water temperature', 'Orthophosphorus', 'Zooplankton', 'Lake Geneva']",['Earth and Environmental Sciences'],"['Frédéric Rimet', 'Viet Tran-Khac', 'Leslie Lainé', 'Rimet Frédéric', 'Tran-Khac Viet', 'Lainé Leslie']",[],dataset-rdg,https://doi.org/10.15454/XZWVM8,[''],['Viet Tran-Khac'],Viet Tran-Khac,DEEP-C,1,2021
Recherche Data Gouv,Flux tower by Eddy Covariance and InfraRed scintillometry on ORACLE observatory,doi:10.15454/M7OK9E,ORACLE research observatory,inrae://10.15454/M7OK9E,2020-02-13T10:24:40Z,2024-08-22 11:36:43+00:00,,['Earth and Environmental Sciences'],"['Arpin-Pont, Florent', 'Ansart, Patrick', 'Azougui, Abdelkader', 'Barral, Hélène', 'Blanchouin, Arnaud', 'Cappelaere, Bernard', 'Chazarin, Jean-Philippe', 'Cohard, Jean-Martial', 'Delaigue, Olivier', 'Demarty, Jérôme', 'Guerin, Alain', 'Tallec, Gaëlle', 'Florent Arpin-Pont', 'Patrick Ansart', 'Abdelkader Azougui', 'Hélène Barral', 'Arnaud Blanchouin', 'Bernard Cappelaere', 'Jean-Philippe Chazarin', 'Jean-Martial Cohard', 'Olivier Delaigue', 'Jérôme Demarty', 'Alain Guerin', 'Gaëlle Tallec']","['https://webgr.inrae.fr/Media/Files/memoires-de-master/msreport_peredodaniela_fr.pdf', 'https://webgr.inrae.fr/Media/Files/memoires-de-master/msreport_huangpeng_en.pdf']",dataset-rdg,https://doi.org/10.15454/M7OK9E,"['Media/Files/memoires-de-master/msreport_peredodaniela_fr.pdf', 'Media/Files/memoires-de-master/msreport_huangpeng_en.pdf']","['Jean-Martial Cohard', 'Jérôme Demarty']",Jean-Martial Cohard,RIFT,1,2024
Recherche Data Gouv,Flux tower by Eddy Covariance and InfraRed scintillometry on ORACLE observatory,doi:10.15454/M7OK9E,ORACLE research observatory,inrae://10.15454/M7OK9E,2020-02-13T10:24:40Z,2024-08-22 11:36:43+00:00,,['Earth and Environmental Sciences'],"['Arpin-Pont, Florent', 'Ansart, Patrick', 'Azougui, Abdelkader', 'Barral, Hélène', 'Blanchouin, Arnaud', 'Cappelaere, Bernard', 'Chazarin, Jean-Philippe', 'Cohard, Jean-Martial', 'Delaigue, Olivier', 'Demarty, Jérôme', 'Guerin, Alain', 'Tallec, Gaëlle', 'Florent Arpin-Pont', 'Patrick Ansart', 'Abdelkader Azougui', 'Hélène Barral', 'Arnaud Blanchouin', 'Bernard Cappelaere', 'Jean-Philippe Chazarin', 'Jean-Martial Cohard', 'Olivier Delaigue', 'Jérôme Demarty', 'Alain Guerin', 'Gaëlle Tallec']","['https://webgr.inrae.fr/Media/Files/memoires-de-master/msreport_peredodaniela_fr.pdf', 'https://webgr.inrae.fr/Media/Files/memoires-de-master/msreport_huangpeng_en.pdf']",dataset-rdg,https://doi.org/10.15454/M7OK9E,"['Media/Files/memoires-de-master/msreport_peredodaniela_fr.pdf', 'Media/Files/memoires-de-master/msreport_huangpeng_en.pdf']","['Jean-Martial Cohard', 'Jérôme Demarty']",Jérôme Demarty,RIFT,1,2024
Recherche Data Gouv,"Milling itineraries for a collection of wood byproducts - Itineraries description, product granulometric characterization and associated kinetics",doi:10.15454/S660LH,atweb Dataverse,inrae://10.15454/S660LH,2020-07-02T15:12:03Z,2023-03-10 13:49:26+00:00,['Pinewood pellets;Douglas shavings;Pine sawdust;Chesnut tree sawdust;Pine bark'],['Agricultural Sciences'],"['Charlène Fabre', 'Patrice Buche', 'Claire Mayer', 'Xavier Rouau', 'Fabre Charlène', 'Buche Patrice', 'Mayer Claire', 'Rouau Xavier']",['https://dx.doi.org/10.1016/j.dib.2020.106430'],dataset-rdg,https://doi.org/10.15454/S660LH,['10.1016/j.dib.2020.106430'],['Patrice Buche'],Patrice Buche,SLAM-B,1,2023
Recherche Data Gouv,FR-Bil environmental data for the 2020 summer,doi:10.15454/EFVSWM,ISPA Dataverse,inrae://10.15454/EFVSWM,2021-11-12T10:16:26Z,2022-04-04 14:04:47+00:00,,['Earth and Environmental Sciences'],"['Taborski, Tom', 'Chipeaux, Christophe', 'Lafont, Sebastien', 'Devert, Nicolas', 'Kruszewski, Alain', 'Denou, Jean-Luc', 'Aluome, Christelle', 'Loustau, Denis', 'Domec, Jean-Christophe', 'Tom Taborski', 'Christophe Chipeaux', 'Sebastien Lafont', 'Nicolas Devert', 'Alain Kruszewski', 'Jean-Luc Denou', 'Christelle Aluome', 'Denis Loustau', 'Jean-Christophe Domec']",[],dataset-rdg,https://doi.org/10.15454/EFVSWM,[''],"['Christophe Chipeaux', 'Denis Loustau', 'Jean-Christophe Domec']",Christophe Chipeaux,Drought for C,1,2022
Recherche Data Gouv,FR-Bil environmental data for the 2020 summer,doi:10.15454/EFVSWM,ISPA Dataverse,inrae://10.15454/EFVSWM,2021-11-12T10:16:26Z,2022-04-04 14:04:47+00:00,,['Earth and Environmental Sciences'],"['Taborski, Tom', 'Chipeaux, Christophe', 'Lafont, Sebastien', 'Devert, Nicolas', 'Kruszewski, Alain', 'Denou, Jean-Luc', 'Aluome, Christelle', 'Loustau, Denis', 'Domec, Jean-Christophe', 'Tom Taborski', 'Christophe Chipeaux', 'Sebastien Lafont', 'Nicolas Devert', 'Alain Kruszewski', 'Jean-Luc Denou', 'Christelle Aluome', 'Denis Loustau', 'Jean-Christophe Domec']",[],dataset-rdg,https://doi.org/10.15454/EFVSWM,[''],"['Christophe Chipeaux', 'Denis Loustau', 'Jean-Christophe Domec']",Denis Loustau,Drought for C,1,2022
