name,id,parent,path
Recherche Data Gouv,root,,Recherche Data Gouv
Data INRAE,123960,root,Recherche Data Gouv/Data INRAE
Experimental - Observation - Simulation,9,123960,Recherche Data Gouv/Data INRAE/Experimental - Observation - Simulation
"The MetaboHUB ""Exploration of Metabolism"" platform Dataverse",10,9,"Recherche Data Gouv/Data INRAE/Experimental - Observation - Simulation/The MetaboHUB ""Exploration of Metabolism"" platform Dataverse"
Info&sols Dataverse,8151,9,Recherche Data Gouv/Data INRAE/Experimental - Observation - Simulation/Info&sols Dataverse
LandmarkH2020 Dataverse,8152,8151,Recherche Data Gouv/Data INRAE/Experimental - Observation - Simulation/Info&sols Dataverse/LandmarkH2020 Dataverse
GisSol Dataverse,8183,8151,Recherche Data Gouv/Data INRAE/Experimental - Observation - Simulation/Info&sols Dataverse/GisSol Dataverse
BDGSF Dataverse,8785,8183,Recherche Data Gouv/Data INRAE/Experimental - Observation - Simulation/Info&sols Dataverse/GisSol Dataverse/BDGSF Dataverse
IGCS Dataverse,100145,8183,Recherche Data Gouv/Data INRAE/Experimental - Observation - Simulation/Info&sols Dataverse/GisSol Dataverse/IGCS Dataverse
RMQS collection,628824,8183,Recherche Data Gouv/Data INRAE/Experimental - Observation - Simulation/Info&sols Dataverse/GisSol Dataverse/RMQS collection
Conservatoire Européen d'Echantillons de Sol,77075,8151,Recherche Data Gouv/Data INRAE/Experimental - Observation - Simulation/Info&sols Dataverse/Conservatoire Européen d'Echantillons de Sol
PREMIUM Dataverse,8300,9,Recherche Data Gouv/Data INRAE/Experimental - Observation - Simulation/PREMIUM Dataverse
Mechanisms of cell degradation/preservation during stabilisation processes,97702,8300,Recherche Data Gouv/Data INRAE/Experimental - Observation - Simulation/PREMIUM Dataverse/Mechanisms of cell degradation/preservation during stabilisation processes
Amélie Girardeau_PhD Dataverse,97919,8300,Recherche Data Gouv/Data INRAE/Experimental - Observation - Simulation/PREMIUM Dataverse/Amélie Girardeau_PhD Dataverse
Development and optimisation of LAB production systems,99055,8300,Recherche Data Gouv/Data INRAE/Experimental - Observation - Simulation/PREMIUM Dataverse/Development and optimisation of LAB production systems
"Production, characterization and screening of oligosaccharides and protected cells",100099,8300,"Recherche Data Gouv/Data INRAE/Experimental - Observation - Simulation/PREMIUM Dataverse/Production, characterization and screening of oligosaccharides and protected cells"
Neuroendocrinologie des Interactions Sexuelles - PRC - Nouzilly Dataverse,8408,9,Recherche Data Gouv/Data INRAE/Experimental - Observation - Simulation/Neuroendocrinologie des Interactions Sexuelles - PRC - Nouzilly Dataverse
BioForA Dataverse,8436,9,Recherche Data Gouv/Data INRAE/Experimental - Observation - Simulation/BioForA Dataverse
PHENOBOIS Dataverse,8437,9,Recherche Data Gouv/Data INRAE/Experimental - Observation - Simulation/PHENOBOIS Dataverse
PHENOBOIS Orléans Dataverse,8720,8437,Recherche Data Gouv/Data INRAE/Experimental - Observation - Simulation/PHENOBOIS Dataverse/PHENOBOIS Orléans Dataverse
PHENOBOIS Bordeaux Dataverse,218293,8437,Recherche Data Gouv/Data INRAE/Experimental - Observation - Simulation/PHENOBOIS Dataverse/PHENOBOIS Bordeaux Dataverse
PHENOBOIS Clermont-Ferrand Dataverse,218294,8437,Recherche Data Gouv/Data INRAE/Experimental - Observation - Simulation/PHENOBOIS Dataverse/PHENOBOIS Clermont-Ferrand Dataverse
SICPA Dataverse,8464,9,Recherche Data Gouv/Data INRAE/Experimental - Observation - Simulation/SICPA Dataverse
SicpaData,140932,8464,Recherche Data Gouv/Data INRAE/Experimental - Observation - Simulation/SICPA Dataverse/SicpaData
SicpaSoftware,140934,8464,Recherche Data Gouv/Data INRAE/Experimental - Observation - Simulation/SICPA Dataverse/SicpaSoftware
SicpaBovins,140935,140934,Recherche Data Gouv/Data INRAE/Experimental - Observation - Simulation/SICPA Dataverse/SicpaSoftware/SicpaBovins
SicpaLapins,140936,140934,Recherche Data Gouv/Data INRAE/Experimental - Observation - Simulation/SICPA Dataverse/SicpaSoftware/SicpaLapins
SicpaOvinsCaprins,140937,140934,Recherche Data Gouv/Data INRAE/Experimental - Observation - Simulation/SICPA Dataverse/SicpaSoftware/SicpaOvinsCaprins
SicpaPoissons,140938,140934,Recherche Data Gouv/Data INRAE/Experimental - Observation - Simulation/SICPA Dataverse/SicpaSoftware/SicpaPoissons
SicpaPorcins,140939,140934,Recherche Data Gouv/Data INRAE/Experimental - Observation - Simulation/SICPA Dataverse/SicpaSoftware/SicpaPorcins
SicpaVolailles,140940,140934,Recherche Data Gouv/Data INRAE/Experimental - Observation - Simulation/SICPA Dataverse/SicpaSoftware/SicpaVolailles
SicpaExperimentations,140941,140934,Recherche Data Gouv/Data INRAE/Experimental - Observation - Simulation/SICPA Dataverse/SicpaSoftware/SicpaExperimentations
SicpaIOT,140943,140934,Recherche Data Gouv/Data INRAE/Experimental - Observation - Simulation/SICPA Dataverse/SicpaSoftware/SicpaIOT
SicpaEnvironnement,140944,140934,Recherche Data Gouv/Data INRAE/Experimental - Observation - Simulation/SICPA Dataverse/SicpaSoftware/SicpaEnvironnement
SicpaParcelles,140945,140934,Recherche Data Gouv/Data INRAE/Experimental - Observation - Simulation/SICPA Dataverse/SicpaSoftware/SicpaParcelles
SicpaReferentielCommun,140946,140934,Recherche Data Gouv/Data INRAE/Experimental - Observation - Simulation/SICPA Dataverse/SicpaSoftware/SicpaReferentielCommun
SicpaSanitaire,140947,140934,Recherche Data Gouv/Data INRAE/Experimental - Observation - Simulation/SICPA Dataverse/SicpaSoftware/SicpaSanitaire
SicpaAlimentation,140949,140934,Recherche Data Gouv/Data INRAE/Experimental - Observation - Simulation/SICPA Dataverse/SicpaSoftware/SicpaAlimentation
SicpaInterop,140950,140934,Recherche Data Gouv/Data INRAE/Experimental - Observation - Simulation/SICPA Dataverse/SicpaSoftware/SicpaInterop
SicpaOpenData,140951,140934,Recherche Data Gouv/Data INRAE/Experimental - Observation - Simulation/SICPA Dataverse/SicpaSoftware/SicpaOpenData
SicpaWebDistri,140952,140934,Recherche Data Gouv/Data INRAE/Experimental - Observation - Simulation/SICPA Dataverse/SicpaSoftware/SicpaWebDistri
SicpaGouvernance,165250,8464,Recherche Data Gouv/Data INRAE/Experimental - Observation - Simulation/SICPA Dataverse/SicpaGouvernance
SicpaPGD,174227,165250,Recherche Data Gouv/Data INRAE/Experimental - Observation - Simulation/SICPA Dataverse/SicpaGouvernance/SicpaPGD
SicpaCatalogue,174250,165250,Recherche Data Gouv/Data INRAE/Experimental - Observation - Simulation/SICPA Dataverse/SicpaGouvernance/SicpaCatalogue
