,Dataverses_niv2,Ids_niv2
0,"['Experimental - Observation - Simulation', 'Omics', 'Surveys & Texts', 'Noaw Project', 'AMAP', 'CIRCASA', 'AgroResonance ', 'Christophe Gouel Dataverse', 'UMR IGEPP', 'Unité expérimentale d’écologie et d’écotoxicologie aquatique', 'Glopack project', 'UMR Silva', 'UMR Eco&Sols', 'UMR SMART', 'Odalim', 'GAFL', 'UR ASTER', 'UREP', 'HYCAR', 'PEGASE', 'UMR G-EAU', 'XYLODENSMAP Dataverse', 'Dataverse ETTIS', 'Elsa', 'NAIAD_H2020', 'NuMeCan', 'FooSIN Dataverse', 'Direction de l’expertise scientifique collective, de la prospective et des études Dataverse', 'FAIRCHAIN', 'AgroClim Dataverse', 'BIBS Dataverse', 'Reactivity during baking of model cakes', 'BioEcoAgro', 'Département ACT', 'USC GRAPPE', 'TETIS', 'Dataverse COASTAL', 'UR1390 - AGAP Corse', 'RIVERLY', 'PPR SUCSEED', 'LABERCA', 'SADAPT Dataverse', 'UMR-STLO Dataverse', 'Plateforme ESV Dataverse', 'UE Maraichage Dataverse', 'CIRM - Centre International de Ressources Microbiennes', 'EOSC-Pillar', 'LESSEM', 'UMR BF2I', 'MoSAR', 'UMR SPO', 'Spodoptera littoralis genome mining brings insights on the dynamic of expansion of gustatory receptors in polyphagous noctuidae', 'Baptiste Girault', 'ARABREED', 'GABI Dataverse', 'UR EFNO Ecosystèmes forestiers', 'Institut Européen de la Forêt cultivée', 'UMR AGIR Dataverse', 'Thèse : Résilience du système cyathostomes x microbiote digestif à une perturbation', 'URZF (Unité de recherche Zoologie forestière)', 'AgroBRC – RARe', 'MycSA Dataverse', 'URP3F', 'IATE research unit', 'AgriLoop: Pushing the frontier of circular agriculture by converting residues into novel economic, social and environmental opportunities', ""UE PEIMA - Pisciculture Expérimentale INRAE des Monts d'Arrées"", 'UMR Agroécologie', 'UR QUAPA', 'GQE-Le Moulon', 'Lignin database', 'Laboratoire Reproduction et Développement des Plantes', 'EGFV', 'ANR MoBiDiv', 'E-MUSE', 'BOA', 'UMR RECOVER', 'ECODEV', 'IJPB for Plant Sciences Dataverse', 'DACE-DL dataverse', 'Institut des Sciences des Plantes de Montpellier', 'UMR SayFood', 'FRISE', 'Sciences du Bois', 'UMR 1419 Nutrition, Métabolisme, Aquaculture (NuMéA)', 'Explore2', 'UMR 1280 PhAN', ""Données de l'UR 1321 ASTRO - Agrosystèmes tropicaux"", 'AGRIBALYSE® – GIS REVALIM', 'UMR 1225 Interactions hôtes-agents pathogènes (IHAP)', 'CESAER', 'BFP - Biologie du Fruit et Pathologie', 'LEPSE – Laboratoire des Plantes sous Stress Environnementaux']","[9, 13, 16, 8717, 8723, 8725, 8847, 76106, 77713, 84087, 84413, 86452, 86720, 94801, 95865, 95876, 96076, 98012, 98507, 98963, 99318, 100888, 100949, 100950, 104101, 104443, 106140, 106217, 109433, 113927, 113933, 114241, 115952, 119999, 120000, 121249, 121518, 122166, 122619, 122723, 123088, 123454, 123458, 123482, 123534, 124014, 124101, 140924, 141099, 141125, 142213, 142287, 142523, 142525, 146190, 148124, 148485, 148621, 148963, 150145, 151188, 151201, 153180, 161334, 161447, 161451, 161851, 164988, 165248, 165249, 166056, 166916, 172841, 176079, 176439, 178271, 183123, 183433, 188836, 197204, 197224, 199849, 201391, 201974, 202158, 222091, 347565, 400066, 400401, 451341, 607330, 627450]"
1,['Revues anonymes'],[142710]
2,"['LMOPS', 'Archives Henri-Poincaré', 'IJL', 'URAFPA', 'CREM', 'LEM3', 'CRM2', 'PErSEUs', 'LPCT', 'LOTERR', 'LRGP', 'Calbinotox', 'Silva', 'LIBio', 'DynAMic', 'CRAN', 'IECL', 'LCOMS', 'ERPI', 'APEMAC', 'LGIPM', 'GREEN', 'CITHEFOR', 'Direction de la Documentation', 'DevAH', 'IMoPA', 'SIMPA', 'NGERE', 'CEREFIGE', 'LSE', 'IFG', 'CERCLE', 'CEGIL', 'IRENEE', 'ÉCRITURES', 'IDEA', 'LIS', '2LPN', 'LISEC', 'InterPsy', '2L2S', 'LCP-A2MC', 'LCPME', 'LORIA', 'LEMTA', 'LAE', 'L2CM', 'CRULH', 'HISCANT-MA', 'Centre Pierre Janet', 'LIEC']","[179084, 179085, 179086, 179087, 179088, 179089, 179090, 179091, 179092, 179093, 179094, 179095, 179096, 179097, 179099, 179100, 179101, 179103, 179104, 179105, 179106, 179107, 179108, 179110, 179111, 179115, 179116, 179117, 179120, 179121, 179122, 179123, 179124, 179125, 179126, 179127, 179128, 179130, 179131, 179132, 179133, 179136, 179137, 179138, 179139, 179140, 179141, 179142, 179143, 179144, 179145]"
3,"['Joint Research Unit Chemistry of Complex Matter', 'Laboratory of Bioimaging and Pathologies - LBP - UMR 7021', 'Sociétés, Acteurs, Gouvernement en Europe - SAGE - UMR 7363', 'Institut des Neurosciences Cellulaires et Intégratives - INCI - UPR 3212', 'iCUBE - Science des Données et Connaissances - UMR 7357', 'Santé de la Vigne et Qualité du Vin - SVQV - UMR_A 1131', 'Institut Pluridisciplinaire Hubert Curien - IPHC - UMR 7178', 'Institut National des Sciences Appliquées Strasbourg - INSA Strasbourg', 'Institut de génétique, biologie moléculaire et cellulaire - IGBMC - UMR 7104', 'Droit, religion, entreprise et société - DRES - UMR 7354', 'Laboratoire d’Innovation Moléculaire et Applications - LIMA - UMR 7042', 'Institut de physique et chimie des Matériaux de Strasbourg - IPCMS - UMR7504', ""GEO - Groupe d'études orientales, slaves et néo-helléniques - UR 1340""]","[134623, 134652, 147059, 156728, 156865, 157710, 158541, 161283, 163728, 175534, 176316, 218119, 628836]"
4,"['OSUG', 'Litt&Arts', 'Gipsa-Lab', 'SPINTEC', 'Observatoire de la Transition Énergétique', 'Institut de Biologie Structurale', 'Laboratoire d’électrochimie et de physicochimie des matériaux et des interfaces ']","[142915, 145397, 146390, 150583, 158365, 176444, 285147]"
5,"['SCALab', 'IEMN', 'TVES - ULR 4477 ', 'GERiiCO', 'Lexique', 'Espace, Populations, Sociétés', 'Unité de Glycobiologie Structurale et Fonctionnelle (UGSF) - UMR 8576', 'UREPSSS', 'CRIStAL', 'PSITEC', 'UMET ', 'Lille économie management - UMR 9221', 'L2EP', 'Unité Evolution, Ecologie et Paléontologie (Evo-Eco-Paléo)', 'UCCS', 'PhLAM', 'Laboratoire de Mécanique des Fluides de Lille - Kampé de Fériet', 'UMR transfrontalière BioEcoAgro', ""Boutique des sciences de l'Université de Lille"", 'CIIL', 'MABLAB']","[142260, 145484, 147065, 147157, 148245, 148262, 148520, 149320, 150224, 151309, 157548, 162923, 168803, 168824, 185786, 192761, 307986, 569140, 573737, 596458, 610401]"
6,"['Centre for anglophone studies (CAS)', ""Centre d'Etudes Ibériques et Ibéro-Américaines (CEIIBA-Toulouse)"", 'Centre d’Etudes et de Recherches en Psychopathologie et Psychologie de la Santé (CERPPS)', ""Centre de Recherches et d'Etudes Germaniques (CREG)"", 'Equipe de Recherche sur les Rationalités Philosophiques et les Savoirs (ERRAPHIS)', 'Laboratoire Cliniques Pathologique et Interculturelle (LCPI)', 'Laboratoire de NeuroPsychoLinguistique (LNPL)', 'Laboratoire de Psychologie de la Socialisation – Développement et Travail (LPS-DT)', 'Laboratoire de Recherche en Audiovisuel - Savoirs, Praxis et Poïétiques en Art (LARA-SEPPIA)', 'Lettres, Langages et Arts - Création, Recherche, Émergence en Arts, Textes, Images, Spectacles (LLA CREATIS)', 'Patrimoine, Littérature, Histoire (PLH)', ""Centre d'Étude et de Recherche Travail, Organisation, Pouvoir (CERTOP)"", 'Cognition, Langues, Langage, Ergonomie (CLLE)', 'Education, Formation, Travail, Savoirs (EFTS)', 'France, Amériques, Espagne - Sociétés, pouvoirs, acteurs (FRAMESPA)', ""Géographie de l'Environnement (GEODE)"", 'Laboratoire Interdisciplinaire Solidarités, Sociétés, Territoires (LISST)', 'Travaux et Recherches Archéologiques sur les Cultures, les Espaces et les Sociétés (TRACES)']","[142851, 142852, 142853, 142854, 142855, 142857, 142858, 142859, 142860, 142861, 142862, 142863, 142864, 142865, 142866, 142867, 142868, 142869]"
7,[],[]
8,[],[]
9,[],[]
